Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/fb/464ce517799c0b01138b14fdb1c9dd/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep3_R1.mzML,/nextflow_runs/work/49/fff17fe9717f1f92c3b4f3077568c3/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep2_R1.mzML,/nextflow_runs/work/05/0ef9e12a9f67c211060c7bab5069a9/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep4_R1.mzML,/nextflow_runs/work/4a/9432495e41bd8bbe87c9d3638261ab/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep3_R1.mzML,/nextflow_runs/work/32/cfdc447731b6ae3eeb8a1a59d80f7d/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep2_R1.mzML,/nextflow_runs/work/a5/0d03ac2c94125adce7ed102f01d7b0/250625_Stitch_S4611_IB_TPP_stauros_treat_T7_rep1_R1.mzML,/nextflow_runs/work/41/7194089913d508dfafd83cefbf2d44/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep1_R1.mzML,/nextflow_runs/work/87/7227e97a34af4640a32017e9bedaf0/250625_Stitch_S4610_IB_TPP_stauros_control_T7_rep4_R1.mzML
P09813,P09813,APOA2_MOUSE,Apoa2,Apolipoprotein A-II,36656.3,43480.4,37850.1,56482.2,34071.5,35910.2,31392.2,40603
P09925,P09925,SURF1_MOUSE,Surf1,Surfeit locus protein 1,,,,,2283.98,,2934.66,2808.48
P0C0A3,P0C0A3,CHMP6_MOUSE,Chmp6,Charged multivesicular body protein 6,18520.3,24672.5,26598.1,21009.2,20436.9,20668.5,18057.5,20835
P0C0S6;Q3THW5,P0C0S6;Q3THW5,H2AV_MOUSE;H2AZ_MOUSE,H2az1;H2az2,Histone H2A.Z,57240.1,50722.4,38117.4,57875.2,65406.8,41679.5,50583.4,57946.6
P0C7L0,P0C7L0,WIPF3_MOUSE,Wipf3,WAS/WASL-interacting protein family member 3,51289.7,39347.5,45812.8,39772.8,40653.2,40670,34233.6,45035
P0C7N9,P0C7N9,PSMG4_MOUSE,Psmg4,Proteasome assembly chaperone 4,13185.6,7535.65,10017.5,10762.5,9736.67,8447.57,7323.05,9872.77
P0C8B4,P0C8B4,GON7_MOUSE,Gon7,EKC/KEOPS complex subunit GON7,1376.79,2425.95,2801.54,4033.17,2637.18,,,3095.11
P0CG14,P0CG14,DERPC_MOUSE,Derpc,Decreased expression in renal and prostate cancer protein,1915.46,3306.29,5598.81,2164.52,2892.01,3846.16,4325.34,5520.23
P0DJE0,P0DJE0,PT100_MOUSE,Pet100,"Protein PET100 homolog, mitochondrial",46617.4,45212.5,50123,49962.5,45360,44675.7,38695,37890.2
P0DJF2,P0DJF2,PT117_MOUSE,Pet117,"Protein PET117 homolog, mitochondrial",19302.8,11365.7,15473.6,15009.3,16514.3,14310.1,17083.5,14542.7
P0DN89,P0DN89,TM254_MOUSE,Tmem254,Transmembrane protein 254,178633,172708,160007,159173,223788,184866,145289,170824
P0DOV2,P0DOV2,IFI4_MOUSE,Ifi204,Interferon-activable protein 204,76237.4,52174.3,66778.9,60523.5,55260.5,56325.2,60792.7,70415.2
P0DP26;P0DP27;P0DP28,P0DP26;P0DP27;P0DP28,CALM1_MOUSE;CALM2_MOUSE;CALM3_MOUSE,Calm1;Calm2;Calm3,Calmodulin-1,6501.76,12451.2,11675.3,15489.2,11326.7,16440.7,11304.5,3141.39
P0DP99,P0DP99,STMP1_MOUSE,Stmp1,Short transmembrane mitochondrial protein 1,,3135.14,,1456.89,7375.37,1356.18,3064.84,2577.12
P10126,P10126,EF1A1_MOUSE,Eef1a1,Elongation factor 1-alpha 1,574456,496669,557534,546315,553723,538443,550153,543992
P10404,P10404,ENV1_MOUSE,,MLV-related proviral Env polyprotein,,7269.64,5996.19,5433.69,5551.47,7537.48,4911.76,7750.25
P10493,P10493,NID1_MOUSE,Nid1,Nidogen-1,2488.75,1396.35,2798.77,5257.82,3947.47,3518.59,2775.68,4905.84
P10518,P10518,HEM2_MOUSE,Alad,Delta-aminolevulinic acid dehydratase,1.27E+06,1.31E+06,1.11E+06,1.28E+06,1.28E+06,1.41E+06,1.33E+06,1.32E+06
P10605,P10605,CATB_MOUSE,Ctsb,Cathepsin B,52365.3,63484.2,54264.3,47647.7,59657.2,53357.7,61483.7,54651.1
P10630,P10630,IF4A2_MOUSE,Eif4a2,Eukaryotic initiation factor 4A-II,70101.1,48475,56870,63322.3,65768,78025.9,69025.6,62943.9
P10630;P60843,P60843;P10630,IF4A1_MOUSE;IF4A2_MOUSE,Eif4a1;Eif4a2,Eukaryotic initiation factor 4A-II,67208.8,71464.2,66024.1,66185.5,52657.2,69340.5,59414.3,69596.3
P10630;P60843;Q91VC3,P60843;Q91VC3;P10630,IF4A1_MOUSE;IF4A2_MOUSE;IF4A3_MOUSE,Eif4a1;Eif4a2;Eif4a3,Eukaryotic initiation factor 4A-II,9609.95,10798.6,12349,7226.58,8792.99,12377.1,13564,13657.8
P10637,P10637,TAU_MOUSE,Mapt,Microtubule-associated protein tau,51405.3,45832.5,51156.5,45939.3,52341.7,50936.2,44769.2,48493.6
P10639,P10639,THIO_MOUSE,Txn,Thioredoxin,2.33E+06,2.36E+06,2.10E+06,2.21E+06,2.35E+06,2.61E+06,2.08E+06,2.32E+06
P10648;P13745,P10648;P13745,GSTA1_MOUSE;GSTA2_MOUSE,Gsta1;Gsta2,Glutathione S-transferase A2,18316.5,29351.3,23807.6,27094.5,24238.8,27450.9,33348,18943.8
P10649,P10649,GSTM1_MOUSE,Gstm1,Glutathione S-transferase Mu 1,1.59E+06,973631,1.73E+06,1.52E+06,1.70E+06,1.23E+06,1.43E+06,1.79E+06
P10649;P15626;Q80W21;Q8R5I6,P10649;P15626;P48774;Q80W21;Q8R5I6,GSTM1_MOUSE;GSTM2_MOUSE;GSTM4_MOUSE;GSTM7_MOUSE,Gstm1;Gstm2;Gstm4;Gstm7,Glutathione S-transferase Mu 1,1.99E+06,2.01E+06,1.91E+06,2.06E+06,1.62E+06,1.99E+06,1.68E+06,1.97E+06
P10649;P19639,P10649;P19639,GSTM1_MOUSE;GSTM3_MOUSE,Gstm1;Gstm3,Glutathione S-transferase Mu 1,422890,350731,317286,362827,480588,426383,482759,389826
P10649;P19639;Q80W21,P10649;P19639;Q80W21,GSTM1_MOUSE;GSTM3_MOUSE;GSTM7_MOUSE,Gstm1;Gstm3;Gstm7,Glutathione S-transferase Mu 1,,,10011.9,,3540.47,,,2772.18
P10711,P10711,TCEA1_MOUSE,Tcea1,Transcription elongation factor A protein 1,166547,165026,153586,153785,174260,180776,166344,153675
P10833,P10833,RRAS_MOUSE,Rras,Ras-related protein R-Ras,4647.77,4250.34,4196.02,5559.59,5508.09,5511.25,3411.62,4081.35
P10833;P62071,P10833;P62071,RRAS2_MOUSE;RRAS_MOUSE,Rras;Rras2,Ras-related protein R-Ras,24514.2,19762.9,33835.5,32410.4,27220.2,21472.2,23418.2,25412.9
P10852,P10852,4F2_MOUSE,Slc3a2,Amino acid transporter heavy chain SLC3A2,25019.2,22072.6,24843.9,27798.8,32265.3,21377.3,26264.8,29018.2
P10853;P10854;Q64475;Q64478;Q64525;Q6ZWY9;Q8CGP1;Q8CGP2,P10853;P10854;P70696;Q64475;Q64478;Q64524;Q64525;Q6ZWY9;Q8CGP0;Q8CGP1;Q8CGP2;Q9D2U9,H2B1B_MOUSE;H2B1C_MOUSE;H2B1F_MOUSE;H2B1H_MOUSE;H2B1K_MOUSE;H2B1M_MOUSE;H2B1P_MOUSE;H2B2B_MOUSE,H2bc12;H2bc14;H2bc3;H2bc4;H2bc7;H2bc9;Hist1h2bp;Hist2h2bb,Histone H2B type 1-F/J/L,672710,563586,648801,787845,822584,623591,819488,670335
P10922,P10922,H10_MOUSE,H1-0,Histone H1.0,35470.3,25411.5,25412.7,86664.6,34169,28603.8,30376.8,33307.9
P11031,P11031,TCP4_MOUSE,Sub1,Activated RNA polymerase II transcriptional coactivator p15,71342.1,82640.3,67938.4,73511.9,87559.1,87663.3,84042,75876.7
P11087,P11087,CO1A1_MOUSE,Col1a1,Collagen alpha-1(I) chain,37630,30687.1,48101,39468.2,62954.1,30188.8,32561.9,56516
P11103,P11103,PARP1_MOUSE,Parp1,Poly [ADP-ribose] polymerase 1,5579.43,4793.74,2729.68,1379.77,3674.81,6937.94,4316.92,2199.25
P11276,P11276,FINC_MOUSE,Fn1,Fibronectin,76675.9,74090.8,81387.9,88823.9,110797,84216.5,87894.4,79324.6
P11352,P11352,GPX1_MOUSE,Gpx1,Glutathione peroxidase 1,84289.6,61642.3,98959.5,84623,75778.3,67151.8,83504.2,85030.7
P11370,P10404;P11370,ENV2_MOUSE,Fv4,Retrovirus-related Env polyprotein from Fv-4 locus,23573.5,16764.4,37683,26178.3,19896.4,21647.5,20193.5,23166.2
P11404,P11404,FABPH_MOUSE,Fabp3,"Fatty acid-binding protein, heart",101331,103579,86507.9,103290,89204,96110.5,97239.1,100882
P11438,P11438,LAMP1_MOUSE,Lamp1,Lysosome-associated membrane glycoprotein 1,458263,558456,347890,426776,530021,483503,424811,447164
P11499,P11499,HS90B_MOUSE,Hsp90ab1,Heat shock protein HSP 90-beta,1.34E+06,1.26E+06,1.33E+06,1.31E+06,1.25E+06,1.23E+06,1.34E+06,1.33E+06
P11531,P11531,DMD_MOUSE,Dmd,Dystrophin,8487.18,3513.46,5641.73,6314.34,6907.09,6364.89,3769.36,2415.86
P11609,P11609,CD1D1_MOUSE,Cd1d1,Antigen-presenting glycoprotein CD1d1,120976,72744.6,109602,75224.6,145056,123900,142342,143263
P11672,P11672,NGAL_MOUSE,Lcn2,Neutrophil gelatinase-associated lipocalin,,2548.03,,748.96,3111.04,3378.26,2915.73,
P11679,P11679,K2C8_MOUSE,Krt8,"Keratin, type II cytoskeletal 8",916356,1.29E+06,952903,1.31E+06,1.09E+06,1.07E+06,1.19E+06,1.14E+06
P11679;P20152;P31001,P11679;P15331;P20152;P31001;Q9DCV7,DESM_MOUSE;K2C8_MOUSE;VIME_MOUSE,Des;Krt8;Vim,"Keratin, type II cytoskeletal 8",8456.75,6386.75,,5936.42,12751.1,5840.73,8362.7,6096.15
P11679;P20152;P31001;Q9DCV7,P11679;P15331;P20152;P31001;Q9DCV7,DESM_MOUSE;K2C7_MOUSE;K2C8_MOUSE;VIME_MOUSE,Des;Krt7;Krt8;Vim,"Keratin, type II cytoskeletal 8",177712,257659,202898,239673,245706,199661,224701,179362
P11679;P20152;P50446;Q3UV17;Q8VED5;Q922U2;Q9DCV7,P03995;P07744;P11679;P20152;P50446;Q8BGZ7;Q922U2;Q9Z331;Q8VED5;Q99M73;Q9DCV7;P97861;Q3UV17;Q6IMF0;Q9ERE2;Q9Z2T6,K22O_MOUSE;K2C5_MOUSE;K2C6A_MOUSE;K2C79_MOUSE;K2C7_MOUSE;K2C8_MOUSE;VIME_MOUSE,Krt5;Krt6a;Krt7;Krt76;Krt79;Krt8;Vim,"Keratin, type II cytoskeletal 8",863634,365621,298351,353403,273810,305840,269490,274665
P11679;P50446;Q3UV17,P11679;P50446;Q8BGZ7;Q9Z331;Q99M73;Q3UV17,K22O_MOUSE;K2C6A_MOUSE;K2C8_MOUSE,Krt6a;Krt76;Krt8,"Keratin, type II cytoskeletal 8",67537,46556.1,35527.8,54013.1,39421.1,43072.2,40129.8,46710.8
P11679;Q6IFZ6;Q8VED5;Q922U2,P11679;Q922U2;Q6IFZ6;Q8VED5,K2C1B_MOUSE;K2C5_MOUSE;K2C79_MOUSE;K2C8_MOUSE,Krt5;Krt77;Krt79;Krt8,"Keratin, type II cytoskeletal 8",16046.1,6591.93,17867.1,11035.5,26277.9,4669.91,7532.96,6042.16
P11679;Q8VED5;Q922U2,P11679;Q922U2;Q6IFZ6;Q8VED5,K2C5_MOUSE;K2C79_MOUSE;K2C8_MOUSE,Krt5;Krt79;Krt8,"Keratin, type II cytoskeletal 8",,,3292.31,3109.92,5958.64,,,2711.44
P11679;Q922U2,P11679;Q8BGZ7;Q922U2,K2C5_MOUSE;K2C8_MOUSE,Krt5;Krt8,"Keratin, type II cytoskeletal 8",86143.6,131124,101725,118889,98870.8,109997,129955,117722
P11680,P11680,PROP_MOUSE,Cfp,Properdin,51556.2,40289.5,43395.3,47393.6,45277.9,41714.6,46644.3,47451.6
P11688,P11688,ITA5_MOUSE,Itga5,Integrin alpha-5,50321.5,35841.8,51715,49839.4,54154.4,45567.4,38771.5,44007
P11714,P11714,CP2D9_MOUSE,Cyp2d9,Cytochrome P450 2D9,23683.7,16320.5,35251.4,21462.2,25990.9,22094.8,26481.9,22324.2
P11714;P24456,P11714;P24456,CP2D9_MOUSE;CP2DA_MOUSE,Cyp2d10;Cyp2d9,Cytochrome P450 2D9,7799.04,12745.8,5935.36,11247.4,11467.4,15956.7,13586.9,12304.8
P11714;P24456;P24457,P11714;P24456;P24457,CP2D9_MOUSE;CP2DA_MOUSE;CP2DB_MOUSE,Cyp2d10;Cyp2d11;Cyp2d9,Cytochrome P450 2D9,70691.7,99358.5,72724.9,74130.9,101797,83883.4,71610,52739.2
P11725,P11725,OTC_MOUSE,Otc,"Ornithine transcarbamylase, mitochondrial",1.02E+07,8.98E+06,9.94E+06,9.63E+06,9.62E+06,9.38E+06,9.45E+06,1.08E+07
P11835,P11835,ITB2_MOUSE,Itgb2,Integrin beta-2,62198.9,59371.7,67780.2,65433.8,68339.3,76158.5,70139.6,66978.8
P11859,P11859,ANGT_MOUSE,Agt,Angiotensinogen,44155.2,45194.7,40910.8,32076.2,46716.5,33582.6,44675.9,38068.7
P11862,P11862,GAS2_MOUSE,Gas2,Growth arrest-specific protein 2,10636.7,12056.7,7324.79,12054,9238.18,7711.41,12465.6,13236.1
P11930,P11930,NUD19_MOUSE,Nudt19,Acyl-coenzyme A diphosphatase NUDT19,,,2821.58,,,4496.74,2109.92,924.462
P11983,P11983,TCPA_MOUSE,Tcp1,T-complex protein 1 subunit alpha,21172.2,19864.9,25999.3,24048.6,21225.4,21826.8,21890.4,23076.1
P12023,P12023;Q06335,A4_MOUSE,App,Amyloid-beta precursor protein,6488.4,4176.21,7350.61,9570.94,9385.3,8600.13,6727.88,8469.94
P12025,P12025,MK_MOUSE,Mdk,Midkine,2146.56,1725.58,1442.45,2028.33,1882.15,2279.6,1716.38,
P12246,P12246,SAMP_MOUSE,Apcs,Serum amyloid P-component,26406.7,25378.6,21452.2,30384.7,32233.9,31483.5,26889.6,31672.3
P12265,P12265,BGLR_MOUSE,Gusb,Beta-glucuronidase,79178.4,76280.5,70670.1,86100.5,92790.2,74973.1,85750,84377.8
P12367,P12367,KAP2_MOUSE,Prkar2a,cAMP-dependent protein kinase type II-alpha regulatory subunit,23017.5,29070.4,16015.5,27956,23145.2,25019.6,23818.3,20502.1
P12382,P12382,PFKAL_MOUSE,Pfkl,"ATP-dependent 6-phosphofructokinase, liver type",20199.5,22775.7,21131.5,17686.3,30733.7,23493.5,32081.1,26828.1
P12382;P47857,P12382;P47857,PFKAL_MOUSE;PFKAM_MOUSE,Pfkl;Pfkm,"ATP-dependent 6-phosphofructokinase, liver type",34582.6,40967,54888,48226.2,49595.9,51690.2,69122.2,39782.1
P12382;P47857;Q9WUA3,P12382;P47857;Q9WUA3,PFKAL_MOUSE;PFKAM_MOUSE;PFKAP_MOUSE,Pfkl;Pfkm;Pfkp,"ATP-dependent 6-phosphofructokinase, liver type",103016,106243,90496.5,87843,97153.9,91027.7,108120,99982.2
P12382;Q9WUA3,P12382;Q9WUA3,PFKAL_MOUSE;PFKAP_MOUSE,Pfkl;Pfkp,"ATP-dependent 6-phosphofructokinase, liver type",385.978,,,,2452.1,2820.46,675.546,4543.34
P12658,P12658,CALB1_MOUSE,Calb1,Calbindin,11054.9,9032.38,14733.6,9323.9,8912.83,9313.06,,5877.75
P12710,P12710,FABPL_MOUSE,Fabp1,"Fatty acid-binding protein, liver",3.81E+07,3.23E+07,2.91E+07,3.90E+07,3.28E+07,3.34E+07,7.01E+07,4.51E+07
P12787,P12787,COX5A_MOUSE,Cox5a,"Cytochrome c oxidase subunit 5A, mitochondrial",125435,170958,110023,166877,142549,170323,157281,127844
P12790,P12790,CP2B9_MOUSE,Cyp2b9,Cytochrome P450 2B9,635232,433910,604379,638782,828274,742025,760601,671253
P12790;P12791,P12790;P12791,CP2B9_MOUSE;CP2BA_MOUSE,Cyp2b10;Cyp2b9,Cytochrome P450 2B9,506330,452279,364534,446650,568296,479031,598538,437331
P12791,P12791,CP2BA_MOUSE,Cyp2b10,Cytochrome P450 2B10,1.34E+06,1.18E+06,1.15E+06,1.25E+06,1.48E+06,1.32E+06,1.27E+06,1.33E+06
P12849,P12849,KAP1_MOUSE,Prkar1b,cAMP-dependent protein kinase type I-beta regulatory subunit,33894.8,26408.5,23740.8,41125.7,32255.6,,53580.1,41699
P12970,P12970,RL7A_MOUSE,Rpl7a,Large ribosomal subunit protein eL8,6930.93,8070.27,5045.66,6397.57,6219.52,5258.89,9268.4,8624.19
P13020,P13020,GELS_MOUSE,Gsn,Gelsolin,13451.7,7955.12,14691.1,13050.5,11318,12678.5,10316.8,16013.4
P13412,P13412,TNNI2_MOUSE,Tnni2,"Troponin I, fast skeletal muscle",21939,,,94270.4,22298,,1859.02,38426.1
P13439,P13439,UMPS_MOUSE,Umps,Uridine 5'-monophosphate synthase,2482.94,4683.01,2184.14,3641.68,2778.93,3329.02,2279.98,3903.9
P13516,P13516,ACOD1_MOUSE,Scd1,Acyl-CoA desaturase 1,5915.35,10464.2,9382.81,10997.3,16125.9,8574.15,15830.4,13987.2
P13595,P13595,NCAM1_MOUSE,Ncam1,Neural cell adhesion molecule 1,6200.4,3267.41,6293.52,3949.99,4259.01,3491.91,3705.07,4606.79
P13597,P13597,ICAM1_MOUSE,Icam1,Intercellular adhesion molecule 1,64642.6,65864.1,77578,76523.6,77531.3,64450.5,64196.7,66170.2
P13634,P13634,CAH1_MOUSE,Ca1,Carbonic anhydrase 1,23103.4,22940.5,22236.9,15511.8,15815.9,21300.6,22074.5,19598
P13707,P13707,GPDA_MOUSE,Gpd1,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",58106.8,61954.2,53837.3,59906.4,53291.1,60330,56718.7,63125.4
P13864,P13864,DNMT1_MOUSE,Dnmt1,DNA (cytosine-5)-methyltransferase 1,7933.88,,,,9854.55,,10167.2,11272.4
P14069,P14069,S10A6_MOUSE,S100a6,Protein S100-A6,45846.3,110436,60822,93243.7,70149.6,108177,101947,51622.8
P14094,P14094,AT1B1_MOUSE,Atp1b1,Sodium/potassium-transporting ATPase subunit beta-1,177557,145445,189983,168253,245192,178384,209955,181349
P14115,P14115,RL27A_MOUSE,Rpl27a,Large ribosomal subunit protein uL15,10927.3,4566.92,5364.15,,3826.72,7967.29,6955.51,
P14148,P14148,RL7_MOUSE,Rpl7,Large ribosomal subunit protein uL30,3440.66,,2303.67,1199.99,2680.68,1308.77,1122.88,4350.48
P14152,P14152,MDHC_MOUSE,Mdh1,"Malate dehydrogenase, cytoplasmic",3.63E+06,3.32E+06,3.77E+06,3.35E+06,3.58E+06,3.45E+06,3.64E+06,3.70E+06
P14206,P14206,RSSA_MOUSE,Rpsa,Small ribosomal subunit protein uS2,23617.9,21748.8,21734.9,19587.2,19390.2,21056.5,22361.7,21446.3
P14211,P14211,CALR_MOUSE,Calr,Calreticulin,515150,558133,492784,556291,632291,532765,669231,566755
P14231,P14231,AT1B2_MOUSE,Atp1b2,Sodium/potassium-transporting ATPase subunit beta-2,5602.38,728.644,6222.31,1740.78,3854.81,3813.85,1537.01,
P14246,P14246,GTR2_MOUSE,Slc2a2,"Solute carrier family 2, facilitated glucose transporter member 2",101647,99364.4,85980.5,112483,119337,70008.6,111833,102588
P14429,P14429;P14430,HA17_MOUSE,H2-Q7,"H-2 class I histocompatibility antigen, Q7 alpha chain",11611.2,16855.7,16597.9,8109.87,14162,13039,12232.8,9168.61
P14483,P14483,HB2A_MOUSE,H2-Ab1,"H-2 class II histocompatibility antigen, A beta chain",8940.13,8493.86,6186.92,8643.75,8153.17,7178.67,9095.83,7104.97
P14576,P14576,SRP54_MOUSE,Srp54,Signal recognition particle subunit SRP54,8431.51,5100.55,3432.81,7386.66,2868.74,579.952,2473.67,2296.93
P14602,P14602,HSPB1_MOUSE,Hspb1,Heat shock protein beta-1,28480,25335.8,17176.4,25679.3,23490.8,21807.6,25942,18738.4
P14685,P14685,PSMD3_MOUSE,Psmd3,26S proteasome non-ATPase regulatory subunit 3,4298.54,8589.19,,3531.37,3871.07,6370.66,3518.76,2705.62
P14733,P14733,LMNB1_MOUSE,Lmnb1,Lamin-B1,36745.7,31634.2,33999.4,31272.6,37161.8,34037.7,30857.6,34089.7
P14733;P21619;P48678,P14733;P21619;P48678,LMNA_MOUSE;LMNB1_MOUSE;LMNB2_MOUSE,Lmna;Lmnb1;Lmnb2,Lamin-B1,28811.9,41772.7,35936.8,35692.1,29688.1,33628.9,35766.2,24550.1
P14824,P14824,ANXA6_MOUSE,Anxa6,Annexin A6,89183,87834.1,84423.5,79478.3,84250.7,78892.2,82356.6,84217.7
P14847,P14847,CRP_MOUSE,Crp,C-reactive protein,7933.31,7299.23,3089.47,5882.14,5175.37,4161.87,6936.7,6827.05
P14869,P14869,RLA0_MOUSE,Rplp0,Large ribosomal subunit protein uL10,26931.6,34299.4,39601.4,32128.8,39350.8,35947.1,38996.1,46917.1
P14873,P14873,MAP1B_MOUSE,Map1b,Microtubule-associated protein 1B,3421.93,5443.11,6489.42,5122.49,3083.31,3237.78,2557,6457.78
P14901,P14901,HMOX1_MOUSE,Hmox1,Heme oxygenase 1,10975.5,9297.81,6905.96,10965.4,9511.83,8836.32,11149.2,9179.18
P15105,P15105,GLNA_MOUSE,Glul,Glutamine synthetase,490196,416800,483607,470493,487379,447785,491727,474995
P15116,P15116,CADH2_MOUSE,Cdh2,Cadherin-2,37653.2,34746.4,38934.4,51153.3,55686.8,36209.6,39229.7,36242.7
P15208,P15208,INSR_MOUSE,Insr,Insulin receptor,24781.7,22910.1,22073.4,24191.5,27495.1,22702.1,20563.1,19621.1
P15261,P15261,INGR1_MOUSE,Ifngr1,Interferon gamma receptor 1,,,,968.066,3247.84,3571.09,4310.15,1320.63
P15306,P15306,TRBM_MOUSE,Thbd,Thrombomodulin,4775.18,5813.95,6859.02,6240.71,5513.27,4361.91,5597.73,7257.45
P15307,P15307,REL_MOUSE,Rel,Proto-oncogene c-Rel,,4063.25,8213.22,7613.3,2900.87,5139.04,4778.75,4009.29
P15307;Q04207,P15307;Q04207,REL_MOUSE;TF65_MOUSE,Rel;Rela,Proto-oncogene c-Rel,15978,15922.7,20055.7,18371.1,16236.9,16162.8,11513.2,18472.5
P15327,P15327,PMGE_MOUSE,Bpgm,Bisphosphoglycerate mutase,95883.5,108250,122283,101107,157176,136935,137960,112163
P15379,P15379,CD44_MOUSE,Cd44,CD44 antigen,15053.8,10677.2,12442.9,15457.1,10149.1,8053.23,8752.69,12209.7
P15392,P15392,CP2A4_MOUSE,Cyp2a4,Cytochrome P450 2A4,15504.3,13989.9,18138.7,17014.8,16821.9,17142.7,18218,19346.7
P15392;P20852,P15392;P20852,CP2A4_MOUSE;CP2A5_MOUSE,Cyp2a4;Cyp2a5,Cytochrome P450 2A4,542465,621926,608559,674643,652229,593246,747286,610638
P15392;P20852;P56593,P15392;P20852;P56593,CP2A4_MOUSE;CP2A5_MOUSE;CP2AC_MOUSE,Cyp2a12;Cyp2a4;Cyp2a5,Cytochrome P450 2A4,41448.1,73046.3,68065.6,59627.1,71316,69939.7,25740.6,49750
P15508,P15508,SPTB1_MOUSE,Sptb,"Spectrin beta chain, erythrocytic",17267.8,22929.9,23310.4,23828,20738,19354.3,19965.7,16930.7
P15508;Q62261,P15508;Q62261,SPTB1_MOUSE;SPTB2_MOUSE,Sptb;Sptbn1,"Spectrin beta chain, erythrocytic",,3459.84,,,,,4473.05,
P15532,P15532,NDKA_MOUSE,Nme1,Nucleoside diphosphate kinase A,731174,809445,664251,664915,949986,573285,789596,490614
P15532;Q01768,P15532;Q01768,NDKA_MOUSE;NDKB_MOUSE,Nme1;Nme2,Nucleoside diphosphate kinase A,4.18E+06,3.43E+06,3.76E+06,3.65E+06,4.81E+06,4.18E+06,4.04E+06,4.20E+06
P15626,P15626,GSTM2_MOUSE,Gstm2,Glutathione S-transferase Mu 2,8278.64,7387.05,3615.04,7734.25,10667.3,8485.38,5274.63,9598.62
P15626;P19639;Q8R5I6,P15626;P19639;Q8R5I6,GSTM2_MOUSE;GSTM3_MOUSE;GSTM4_MOUSE,Gstm2;Gstm3;Gstm4,Glutathione S-transferase Mu 2,58603.1,76300.3,69100.9,83881.9,92772,55566.6,88063.7,72856.6
P15626;Q80W21,P15626;Q80W21,GSTM2_MOUSE;GSTM7_MOUSE,Gstm2;Gstm7,Glutathione S-transferase Mu 2,36335.4,33675.9,26239.4,38439.1,31760.9,34059.2,32366.7,19979.9
P15626;Q8R5I6,P15626;Q8R5I6,GSTM2_MOUSE;GSTM4_MOUSE,Gstm2;Gstm4,Glutathione S-transferase Mu 2,27271,32080.5,31742.7,31698.4,34760.7,46801.1,35703.9,34653.5
P15702,P15702,LEUK_MOUSE,Spn,Leukosialin,10341.6,5165.17,6719.67,5851.42,5649.31,4450.57,4858.96,5021.16
P15864,P15864;P43277,H12_MOUSE,H1-2,Histone H1.2,93308.1,94698.7,125296,184169,103428,109742,107238,94974.9
P15864;P43274,P15864;P43274;P43275;P43277,H12_MOUSE;H14_MOUSE,H1-2;H1-4,Histone H1.2,79315.4,69125.9,69170.4,125238,119911,93756.6,139823,84734.2
P15920,P15920,VPP2_MOUSE,Atp6v0a2,V-type proton ATPase 116 kDa subunit a 2,8586.44,11566,,8004.89,11017.6,10531,9603.72,9194.23
P16015,P16015,CAH3_MOUSE,Ca3,Carbonic anhydrase 3,311645,373556,337230,298947,357937,382378,459080,356811
P16045,P16045,LEG1_MOUSE,Lgals1,Galectin-1,33704.9,32672.3,30653.3,30724.1,40874.2,29608.1,39007.1,29695
P16056,P16056,MET_MOUSE,Met,Hepatocyte growth factor receptor,11254.7,12914.6,11735.3,10832.5,11204.1,10646,11320,9635.11
P16110,P16110,LEG3_MOUSE,Lgals3,Galectin-3,,,,,1504.31,1298.03,,2124.79
P16125,P16125,LDHB_MOUSE,Ldhb,L-lactate dehydrogenase B chain,48328.1,45913.5,44939,42562.1,52545.3,47137,44726.7,45451.2
P16254,P16254,SRP14_MOUSE,Srp14,Signal recognition particle 14 kDa protein,73298.2,59819.5,59116.4,64153.1,75035.2,60211.9,67343.7,64283.5
P16294,P16294,FA9_MOUSE,F9,Coagulation factor IX,38187.2,27967.6,34062.7,36915.9,31979,29387.1,32193.4,33379.6
P16301,P16301,LCAT_MOUSE,Lcat,Phosphatidylcholine-sterol acyltransferase,39000.9,39746.4,45938.4,50836.5,37874,56269.3,42277.6,44955.3
P16330,P16330,CN37_MOUSE,Cnp,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",1339.15,,4324.25,2856.95,2648.77,1480.51,4100.48,3395.1
P16331,P16331,PH4H_MOUSE,Pah,Phenylalanine-4-hydroxylase,217753,172040,204911,191154,210844,196708,219307,199747
P16332,P16332,MUTA_MOUSE,Mmut,"Methylmalonyl-CoA mutase, mitochondrial",51297.2,30190.7,42773.1,48128,25438.1,32389.4,35967.3,46776.4
P16406,P16406,AMPE_MOUSE,Enpep,Glutamyl aminopeptidase,283354,252662,267023,277658,312411,245769,254821,258827
