Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_treat_rep4_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_control_rep4_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_treat_rep3_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_control_rep3_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_treat_rep2_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_control_rep2_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_treat_rep1_R1.raw,Y:\11_Astral_Stitch\250625_Stitch_S4612_IB_PISA_liver_stauros_control_rep1_R1.raw
O88425,O88425,NDK6_MOUSE,Nme6,Nucleoside diphosphate kinase 6,86425.2,58012.1,70111.7,86996.7,76018.4,72216.1,85886.8,101821
O88428,O88428,PAPS2_MOUSE,Papss2,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2,121043,116014,130617,115252,122704,123022,231493,279917
O88441,O88441,MTX2_MOUSE,Mtx2,Metaxin-2,233830,228731,262208,235362,223212,195460,227668,278742
O88447,O88447,KLC1_MOUSE,Klc1,Kinesin light chain 1,16881.3,13203.1,20711.6,13123.8,15241.4,14785.5,13411.5,9918.5
O88448,O88447;O88448,KLC2_MOUSE,Klc2,Kinesin light chain 2,53858.1,49117,34715,49962,48180.6,40334.7,29137.7,45108.9
O88451,O54909;Q9R092;O88451,RDH7_MOUSE,Rdh7,Retinol dehydrogenase 7,7.56E+06,7.12E+06,7.78E+06,7.06E+06,8.02E+06,7.39E+06,8.08E+06,7.26E+06
O88455,O88455,DHCR7_MOUSE,Dhcr7,7-dehydrocholesterol reductase,146544,108836,99111.6,109510,144151,141482,163924,166028
O88456,O88456;Q9D7J7,CPNS1_MOUSE,Capns1,Calpain small subunit 1,249519,238524,244605,260353,266271,243346,274586,282168
O88466,O88466,ZN106_MOUSE,Znf106,Zinc finger protein 106,6995.29,9064.29,,11934.1,9341.52,6854.68,6956.01,6614.36
O88487,O88487,DC1I2_MOUSE,Dync1i2,Cytoplasmic dynein 1 intermediate chain 2,256997,227264,297989,225808,218997,254710,214272,283526
O88491,O88491,NSD1_MOUSE,Nsd1,"Histone-lysine N-methyltransferase, H3 lysine-36 specific",4060.28,,,,,,5581.77,5436.36
O88492,O88492,PLIN4_MOUSE,Plin4,Perilipin-4,11647.5,,30571.6,20870,,34371.8,19766.6,17473.4
O88512,O88512,AP1G2_MOUSE,Ap1g2,AP-1 complex subunit gamma-like 2,36567.9,29408.1,37315.9,,28408,,50093.3,44882.2
O88520,O88520,SHOC2_MOUSE,Shoc2,Leucine-rich repeat protein SHOC-2,48889.8,37138.8,29894.3,31928.5,29158.4,33921.4,47355.7,51279
O88522,O88522,NEMO_MOUSE,Ikbkg,NF-kappa-B essential modulator,102539,101154,93094.5,112518,112584,96178.3,92570.9,99441.1
O88531,O88531,PPT1_MOUSE,Ppt1,Palmitoyl-protein thioesterase 1,331502,351053,242445,226360,253438,247982,242589,329820
O88532,O88532,ZFR_MOUSE,Zfr,Zinc finger RNA-binding protein,195718,205131,191191,167510,171728,171963,146129,145299
O88533,O88533,DDC_MOUSE,Ddc,Aromatic-L-amino-acid decarboxylase,1.08E+06,1.14E+06,1.03E+06,1.68E+06,1.15E+06,1.43E+06,1.59E+06,3.45E+06
O88543,O88543,CSN3_MOUSE,Cops3,COP9 signalosome complex subunit 3,660610,798942,733203,813469,868392,746780,799466,821445
O88544,O88544,CSN4_MOUSE,Cops4,COP9 signalosome complex subunit 4,404575,352472,322662,346878,390588,359465,426374,427157
O88545,O88545,CSN6_MOUSE,Cops6,COP9 signalosome complex subunit 6,122756,109423,134240,118960,141298,135798,196160,191014
O88551,O88551,CLD1_MOUSE,Cldn1,Claudin-1,40216,39703.3,63708.5,42724.8,39369.1,40262,24466.3,32041.5
O88569,O88569,ROA2_MOUSE,Hnrnpa2b1,Heterogeneous nuclear ribonucleoproteins A2/B1,3.13E+06,3.03E+06,3.12E+06,3.01E+06,3.10E+06,3.13E+06,4.23E+06,4.37E+06
O88587,O88587,COMT_MOUSE,Comt,Catechol O-methyltransferase,653516,578956,586607,509032,535795,544483,558835,558200
O88597,O88597,BECN1_MOUSE,Becn1,Beclin-1,52089.2,,,55809.5,57321.8,34438.3,,
O88622,O88622,PARG_MOUSE,Parg,Poly(ADP-ribose) glycohydrolase,33793.4,65413.7,35854.2,,59627.4,48763.8,49007.2,44274.4
O88623,O88623,UBP2_MOUSE,Usp2,Ubiquitin carboxyl-terminal hydrolase 2,52451.2,,37686.8,50237.5,52718.6,,,
O88630,O88630,GOSR1_MOUSE,Gosr1,Golgi SNAP receptor complex member 1,83975.1,73997.1,82422.1,95424,100422,74993.6,79308.1,81546.7
O88643,O88643,PAK1_MOUSE,Pak1,Serine/threonine-protein kinase PAK 1,16739.7,21860.9,12567.1,18398.1,17730.3,14949.9,10121.2,13754
O88662,O88662,EMP2_MOUSE,Emp2,Epithelial membrane protein 2,,,,,2580.89,,7575.85,8118.28
O88668,O88668,CREG1_MOUSE,Creg1,Protein CREG1,654951,653315,644996,745348,786959,747449,632177,704060
O88685,O88685,PRS6A_MOUSE,Psmc3,26S proteasome regulatory subunit 6A,178643,167221,139949,143753,148730,168396,149243,164829
O88696,O88696,CLPP_MOUSE,Clpp,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",625422,704331,690353,817872,776754,826032,1.36E+06,1.75E+06
O88712,O88712,CTBP1_MOUSE,Ctbp1,C-terminal-binding protein 1,24448.8,18782.7,18955.7,19708.3,19922.3,19750.9,22704.5,26649.4
O88735,O88735,MAP7_MOUSE,Map7,Ensconsin,134590,135010,147943,147338,104237,134627,139368,157312
O88736,O88736,DHB7_MOUSE,Hsd17b7,3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7,32688.6,37290.4,34403.8,27799.2,46113,35269.5,39186.5,37608.7
O88738,O88738,BIRC6_MOUSE,Birc6,Baculoviral IAP repeat-containing protein 6,12054.9,17452.7,,11793.9,11574.9,9670.41,10969.9,10067.4
O88746,O88746,TOM1_MOUSE,Tom1,Target of Myb1 membrane trafficking protein,155475,143716,130416,131055,133462,127652,119463,119849
O88783,O88783,FA5_MOUSE,F5,Coagulation factor V,29097.1,26160.8,25725.6,43117.8,22528.9,23962.7,18189,18218.3
O88792,O88792,JAM1_MOUSE,F11r,Junctional adhesion molecule A,446866,416035,442333,355469,436941,445299,210116,322420
O88796,O88796,RPP30_MOUSE,Rpp30,Ribonuclease P protein subunit p30,21356,21119.3,22303.9,19270.8,27751.2,23272.7,18883.7,15483.7
O88803,O88803,LECT2_MOUSE,Lect2,Leukocyte cell-derived chemotaxin-2,23388.7,27756.4,27866.1,23132.3,23204,28305.5,23972.8,27782
O88811,O88811,STAM2_MOUSE,Stam2,Signal transducing adapter molecule 2,85183.3,80605.7,73548,79215,86235.6,68874.6,76127.5,79683.7
O88822,O88822,SC5D_MOUSE,Sc5d,Lathosterol oxidase,453451,290351,243343,315634,364845,368435,721987,1.13E+06
O88829,O88829,SIAT9_MOUSE,St3gal5,"Lactosylceramide alpha-2,3-sialyltransferase",59424,56107.9,62126.7,61101.7,54026,57039.1,56242.7,57397.5
O88833,O88833,CP4AA_MOUSE,Cyp4a10,Cytochrome P450 4A10,341057,322828,300463,288367,265661,301515,286957,277499
O88844,O88844,IDHC_MOUSE,Idh1,Isocitrate dehydrogenase [NADP] cytoplasmic,1.91E+06,1.74E+06,1.34E+06,1.63E+06,1.69E+06,1.64E+06,2.06E+06,2.21E+06
O88851,O88851,RBBP9_MOUSE,Rbbp9,Putative hydrolase RBBP9,1.02E+06,982118,833207,961295,936285,898504,956515,869155
O88855,O88855,LT4R1_MOUSE,Ltb4r,Leukotriene B4 receptor 1,332725,,,278778,,290107,,284074
O88874,O88874,CCNK_MOUSE,Ccnk,Cyclin-K,7797.69,,,,,,5537.77,5395.71
O88876,O88876,DHRS3_MOUSE,Dhrs3,Short-chain dehydrogenase/reductase 3,304551,325303,320398,312730,314133,288474,308079,285300
O88878,O88878,ZFAN5_MOUSE,Zfand5,AN1-type zinc finger protein 5,105246,117856,118768,131910,100129,119598,77282.4,82034.5
O88895,O88895,HDAC3_MOUSE,Hdac3,Histone deacetylase 3,64166.1,75932.9,71564.8,78081.8,63480.9,83067.6,43524.9,58179.2
O88908,O88908,SOAT2_MOUSE,Soat2,Sterol O-acyltransferase 2,398396,408384,365451,412314,402528,372908,484035,479533
O88935,O88935,SYN1_MOUSE,Syn1,Synapsin-1,72123.7,66779.3,59998.4,70657.7,72997.7,71233.3,46047.6,46599.8
O88939,O88939,ZBT7A_MOUSE,Zbtb7a,Zinc finger and BTB domain-containing protein 7A,,,,,,,,4510.45
O88947,O88947,FA10_MOUSE,F10,Coagulation factor X,207989,176004,202611,201025,191900,159038,171250,160524
O88952,O88952,LIN7C_MOUSE,Lin7c,Protein lin-7 homolog C,134163,120066,127284,196533,165522,125469,176348,167550
O88958,O88958,GNPI1_MOUSE,Gnpda1,Glucosamine-6-phosphate isomerase 1,883373,750594,842011,953507,934250,864765,812011,789595
O88962,O88962,CP8B1_MOUSE,Cyp8b1,7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase,55328.9,55258,55871.5,55151.4,49198.3,66471.9,57973.6,63975.9
O88967,O88967,YMEL1_MOUSE,Yme1l1,ATP-dependent zinc metalloprotease YME1L1,108075,122872,109333,111947,112996,125920,124716,128896
O88968,O88968,TCO2_MOUSE,Tcn2,Transcobalamin-2,84646.1,95637.4,114803,118748,95756.1,97284.2,90198.7,94188.6
O88983,O88983,STX8_MOUSE,Stx8,Syntaxin-8,183464,179388,200030,201501,194556,212991,175287,184842
O88986,O88986,KBL_MOUSE,Gcat,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",1.92E+06,1.96E+06,1.80E+06,2.07E+06,1.74E+06,1.49E+06,2.52E+06,2.92E+06
O89001,O89001,CBPD_MOUSE,Cpd,Carboxypeptidase D,70665.1,84715.1,69188,73171.2,79623.7,73773,64239.8,80020.6
O89017,O89017,LGMN_MOUSE,Lgmn,Legumain,395745,364568,340684,411479,397478,279977,375928,486894
O89020,O89020,AFAM_MOUSE,Afm,Afamin,458347,431090,423579,477390,477616,484027,442900,514762
O89023,O89023,TPP1_MOUSE,Tpp1,Tripeptidyl-peptidase 1,208434,253855,174959,214572,217821,199629,238252,307451
O89026,O89026,ROBO1_MOUSE,Robo1,Roundabout homolog 1,14539.3,16974.2,15916.7,14063.3,21072.2,14463.1,11848.2,10969.6
O89032,O89032,SPD2A_MOUSE,Sh3pxd2a,SH3 and PX domain-containing protein 2A,12642.1,,9506.1,17443,15726.8,12001.3,21014.1,10115.3
O89050,O89050,MKLN1_MOUSE,Mkln1,Muskelin,17627.6,14876.4,18220.2,14184.6,15765.3,18860,13357.1,20191
O89051,O89051,ITM2B_MOUSE,Itm2b,Integral membrane protein 2B,66293.5,60060.5,74556.6,62401.6,66974.5,64696.9,54807.9,49928.8
O89053,O89053,COR1A_MOUSE,Coro1a,Coronin-1A,125249,150730,87325.1,84649,109232,115139,92320.3,87225.2
O89079,O89079,COPE_MOUSE,Cope,Coatomer subunit epsilon,35204.4,30709.5,50212.9,34042,30407.7,24387.9,41251.9,34977.5
O89086,O89086,RBM3_MOUSE,Rbm3,RNA-binding protein 3,494971,424821,397030,563487,462846,438930,493405,478325
O89090,O89090,SP1_MOUSE,Sp1,Transcription factor Sp1,6734.85,14101.1,23554.9,19146.5,15966.5,23646,16281.8,12543.2
O89103,O89103,C1QR1_MOUSE,Cd93,Complement component C1q receptor,6011.32,7518.83,11748.7,9493,6099.07,5054.24,8629.83,6827.71
O89106,O89106,FHIT_MOUSE,Fhit,Bis(5'-adenosyl)-triphosphatase,37697.9,,31102.7,32637.6,37925.9,35679.9,35208.6,43957.8
O89109,O89109,KCNN4_MOUSE,Kcnn4,Intermediate conductance calcium-activated potassium channel protein 4,,107187,22900.9,26381.6,,22260.4,,138249
O89110,O89110,CASP8_MOUSE,Casp8,Caspase-8,185526,184826,181696,204447,188551,212298,220106,217345
O89112,O89112,LANC1_MOUSE,Lancl1,Glutathione S-transferase LANCL1,41742.8,50827.2,,26697,,,39503,37054.5
O89116,O89116,VTI1A_MOUSE,Vti1a,Vesicle transport through interaction with t-SNAREs homolog 1A,50102.9,,58364.7,92697.2,85152.5,,73859.6,94418.2
P00015,P00015,CYC2_MOUSE,Cyct,"Cytochrome c, testis-specific",,,,,,,,11311.1
P00158,P00158,CYB_MOUSE,Mt-Cyb,Cytochrome b,21670.5,,19032.2,23968.3,21963.3,22371,27303.8,23100.3
P00184,P00184,CP1A1_MOUSE,Cyp1a1,Cytochrome P450 1A1,72095.7,,,94516.4,102859,57936.2,141125,112490
P00186,P00186,CP1A2_MOUSE,Cyp1a2,Cytochrome P450 1A2,2.89E+06,1.82E+06,2.92E+06,1.49E+06,2.90E+06,1.73E+06,4.61E+06,2.81E+06
P00329,P00329,ADH1_MOUSE,Adh1,Alcohol dehydrogenase 1,9.49E+07,9.33E+07,8.99E+07,9.63E+07,9.58E+07,8.38E+07,9.81E+07,1.06E+08
P00375,P00375,DYR_MOUSE,Dhfr,Dihydrofolate reductase,159983,174032,135086,125972,128656,140127,122219,126053
P00405,P00405,COX2_MOUSE,Mtco2,Cytochrome c oxidase subunit 2,1.10E+07,1.38E+07,1.24E+07,1.35E+07,1.12E+07,1.24E+07,9.63E+06,9.76E+06
P00416,P00416,COX3_MOUSE,mt-Co3,Cytochrome c oxidase subunit 3,4646.15,,,,8294.21,9300.58,59187.8,87888.2
P00493,P00493,HPRT_MOUSE,Hprt1,Hypoxanthine-guanine phosphoribosyltransferase,914219,944297,985276,1.17E+06,1.00E+06,1.30E+06,872657,1.13E+06
P00688,P00687;P00688,AM2A5_MOUSE,Amy2a5,Pancreatic alpha-amylase 2a5,146623,130456,197073,133724,131068,170878,178293,221111
P00920,P00920,CAH2_MOUSE,Ca2,Carbonic anhydrase 2,6.34E+06,5.20E+06,6.25E+06,6.02E+06,5.13E+06,6.12E+06,7.03E+06,8.01E+06
P01027,P01027,CO3_MOUSE,C3,Complement C3,3.96E+06,4.04E+06,4.14E+06,4.38E+06,4.24E+06,4.16E+06,4.98E+06,5.06E+06
P01029,P01029,CO4B_MOUSE,C4b,Complement C4-B,668103,675286,706488,700731,706179,686998,701526,724871
P01592,P01592,IGJ_MOUSE,Jchain,Immunoglobulin J chain,37008.2,31810,27852.3,33590.4,40034,38461.3,35086.9,34014.3
P01630,P01630,KV2A6_MOUSE,,Ig kappa chain V-II region 7S34.1,18910.8,16204.9,13993.5,16358.4,10364.8,20799.1,19458.7,13684.4
P01631,P01631,KV2A7_MOUSE,,Ig kappa chain V-II region 26-10,73594.9,69243.3,85649.8,106007,68663.9,99711.4,77812.4,82310.6
P01633,P01633,KV5A1_MOUSE,Igkv6-17,Immunoglobulin kappa chain variable 6-17,28701.2,,31650.5,,41843.4,,45126.8,30223.3
P01635,P01635,KV5A3_MOUSE,Igkv12-41,Immunoglobulin kappa chain variable 12-41 (Fragment),96201.3,72807,73284.4,100901,102445,86450.8,73260.8,70448.3
P01636,P01636,KV5A4_MOUSE,,Ig kappa chain V-V region MOPC 149,8097.61,8142.18,,,8329.52,9758.27,9061.41,6572.02
P01642,P01642,KV5A9_MOUSE,Gm10881,Ig kappa chain V-V region L7 (Fragment),,,,16216,11844.4,15718.2,11459.1,13294.3
P01660,P01660,KV3A8_MOUSE,,Ig kappa chain V-III region PC 3741/TEPC 111,20060.9,,25148.5,,18544.9,24603.9,18413.6,21496.8
P01680,P01680,KV4A1_MOUSE,,Ig kappa chain V-IV region S107B,53919,38003.7,42252.9,43827,50624.2,51318.2,53515.5,46362.2
P01723;P01726;P01727;P01728;P01729,P01723;P01726;P01727;P01728;P01729,LV1A_MOUSE;LV1D_MOUSE;LV1E_MOUSE;LV2A_MOUSE;LV2B_MOUSE,,Ig lambda-1 chain V region,140448,,122740,166547,146557,175188,169470,184581
P01750,P01750,HVM06_MOUSE,,Ig heavy chain V region 102,,,,,,,,2573.81
P01754;P06328,P01753;P01754;P06328,HVM10_MOUSE;HVM49_MOUSE,Ighv1-62-3;Ighv1-72,Ig heavy chain V region 1-62-3,28352.7,36656.2,40539.7,23165.9,35521.2,34589.3,20581.8,18125.1
P01786,P01786,HVM17_MOUSE,,Ig heavy chain V region MOPC 47A,19714.2,16265.6,13383.3,13185.7,23652.5,21964.7,24143.9,26287.3
P01787;P01788;P01789;P01790;P01791;P01792;P01793;P01794,P01789;P01787;P01788;P01790;P01791;P01792;P01793;P01794,HVM18_MOUSE;HVM19_MOUSE;HVM20_MOUSE;HVM21_MOUSE;HVM22_MOUSE;HVM23_MOUSE;HVM24_MOUSE;HVM25_MOUSE,,Ig heavy chain V regions TEPC 15/S107/HPCM1/HPCM2/HPCM3,,,,,,,4029.39,8427.04
P01804,P01796;P01797;P01799;P01801;P01803;P01804,HVM35_MOUSE,,Ig heavy chain V-III region HPC76 (Fragment),26699.4,35395.3,26932.2,31646.7,43441.4,35770.2,41074.4,49561.9
P01806;P01807;P01808;P01809;P01812,P01812;P18524;P01806;P01807;P01808;P01809;P01810,HVM36_MOUSE;HVM37_MOUSE;HVM38_MOUSE;HVM39_MOUSE;HVM42_MOUSE,,Ig heavy chain V region 441,16126.2,17663.1,19615.3,10971.8,20785.2,29036.3,30294.4,26707.7
P01819;P01820,P01819;P01820,HVM43_MOUSE;HVM44_MOUSE,,Ig heavy chain V region MOPC 141,14047.6,,11257,,8805.39,,5092.24,5747.31
P01831,P01831,THY1_MOUSE,Thy1,Thy-1 membrane glycoprotein,125224,129520,135997,135289,112392,93054.4,95285.5,87031
P01837,P01837,IGKC_MOUSE,Igkc,Immunoglobulin kappa constant,45737.9,70784.8,45362.7,78509,94989.9,53164.7,258765,538103
P01863;P01865,P01865;P01863;P01864,GCAA_MOUSE;GCAM_MOUSE,Igh-1a;Ighg,"Ig gamma-2A chain C region, A allele",111797,108487,116013,123625,102802,82078.4,129757,132017
P01864,P01864,GCAB_MOUSE,,Ig gamma-2A chain C region secreted form,24960.4,,23197.8,31686.2,,24491.7,27286.9,36847.4
P01867,P01867,IGG2B_MOUSE,Ighg2b,Immunoglobulin heavy constant gamma 2B,512535,491073,486742,666896,602038,547539,581251,518014
P01868;P01869,P01868;P01869,IGH1M_MOUSE;IGHG1_MOUSE,Ighg1,Ig gamma-1 chain C region secreted form,18841.6,21844.4,23825.8,26824.3,17963,26907.7,11106.8,16142.3
P01872,P01872,IGHM_MOUSE,Ighm,Immunoglobulin heavy constant mu,396770,494481,445851,468371,432707,489927,372137,412912
P01887,P01887,B2MG_MOUSE,B2m,Beta-2-microglobulin,2.00E+06,1.85E+06,2.21E+06,2.47E+06,2.03E+06,2.25E+06,1.97E+06,2.36E+06
P01898,P01898,HA10_MOUSE,H2-Q10,"H-2 class I histocompatibility antigen, Q10 alpha chain",358570,509661,392039,310771,433844,362171,865237,932397
P01899,P01897;P01899,HA11_MOUSE,H2-D1,"H-2 class I histocompatibility antigen, D-B alpha chain",1.43E+06,1.48E+06,1.68E+06,1.50E+06,1.64E+06,1.63E+06,1.88E+06,1.77E+06
P01901,P01901;P01902,HA1B_MOUSE,H2-K1,"H-2 class I histocompatibility antigen, K-B alpha chain",210782,192519,198400,205202,145189,151561,390504,425545
P01942,P01942,HBA_MOUSE,Hba,Hemoglobin subunit alpha,3.53E+07,3.20E+07,2.77E+07,2.88E+07,3.52E+07,3.25E+07,6.10E+07,7.03E+07
P02088,P02088,HBB1_MOUSE,Hbb-b1,Hemoglobin subunit beta-1,1.48E+07,1.35E+07,1.49E+07,1.15E+07,1.49E+07,1.61E+07,2.59E+07,2.28E+07
P02089,P02089,HBB2_MOUSE,Hbb-b2,Hemoglobin subunit beta-2,613593,556802,634601,484290,546220,,375799,373907
P02104,P02104,HBE_MOUSE,Hbb-y,Hemoglobin subunit epsilon-Y2,,,,,,5545.72,16517.3,29640.6
P02301;P68433;P84228;P84244,P02301;P68433;P84228;P84244,H31_MOUSE;H32_MOUSE;H33_MOUSE;H3C_MOUSE,H3-3a;H3-5;H3c1;H3c2,Histone H3.3C,3168.04,,,,731.753,,22863.8,46564
P02463,P02463,CO4A1_MOUSE,Col4a1,Collagen alpha-1(IV) chain,21810.3,,15858.3,13987.1,,17303.7,17675.2,19513.2
P02469,P02469,LAMB1_MOUSE,Lamb1,Laminin subunit beta-1,,,,,,,4892.19,4728.8
P02535,P02535;P08730,K1C10_MOUSE,Krt10,"Keratin, type I cytoskeletal 10",,90346.8,110178,81628,106528,10268.2,148993,71425.9
P02798,P02798,MT2_MOUSE,Mt2,Metallothionein-2,44531.4,40233.9,18961.5,40216.4,34393,26814.2,17183.7,45192.2
P02802,P02802,MT1_MOUSE,Mt1,Metallothionein-1,199153,169575,182163,187735,262394,146053,247659,131753
P03888,P03888,NU1M_MOUSE,Mtnd1,NADH-ubiquinone oxidoreductase chain 1,13245,10896.7,,14093,15484.7,12663,23834,20958.8
P03893,P03893,NU2M_MOUSE,mt-Nd2,NADH-ubiquinone oxidoreductase chain 2,40533.1,18889.2,7240.98,28256.5,39908.4,38004.4,123191,106146
P03911,P03911,NU4M_MOUSE,Mtnd4,NADH-ubiquinone oxidoreductase chain 4,33536.8,24415.8,39228.6,35978.4,58742.2,76445,76527.9,76044.7
P03921,P03921,NU5M_MOUSE,Mtnd5,NADH-ubiquinone oxidoreductase chain 5,115160,89551.2,117597,124738,98562.7,129152,191815,211597
P03930,P03930,ATP8_MOUSE,Mtatp8,ATP synthase protein 8,1.49E+06,1.67E+06,1.78E+06,1.55E+06,1.61E+06,1.73E+06,1.42E+06,1.44E+06
P03953,P03953,CFAD_MOUSE,Cfd,Complement factor D,44018.8,4875.79,34792.4,26549.2,,31324.2,32646.1,62600.8
P03958,P03958,ADA_MOUSE,Ada,Adenosine deaminase,367965,310811,367696,362828,373174,348907,362188,384919
P03987,P03987,IGHG3_MOUSE,,Ig gamma-3 chain C region,205540,205669,214734,232408,191708,220931,171254,183058
P04104,P04104,K2C1_MOUSE,Krt1,"Keratin, type II cytoskeletal 1",224793,416445,268030,327521,341491,200856,420045,1.36E+06
P04117,P04117,FABP4_MOUSE,Fabp4,"Fatty acid-binding protein, adipocyte",1.48E+06,1.63E+06,1.71E+06,1.84E+06,1.85E+06,1.68E+06,1.98E+06,1.79E+06
P04186,P04186,CFAB_MOUSE,Cfb,Complement factor B,217469,193641,163943,183012,182947,179880,190345,197094
P04230;P04231;P18468;P18469,P04230;P18468;P18469;P04231;P20040,HB21_MOUSE;HB23_MOUSE;HB2I_MOUSE;HB2J_MOUSE,H2-Eb1,"H-2 class II histocompatibility antigen, E-B beta chain",,,,,,,,7376.25
P04247,P04247,MYG_MOUSE,Mb,Myoglobin,121981,101987,106895,125339,140178,165175,415204,876560
P04370,P04370,MBP_MOUSE,Mbp,Myelin basic protein,88967.3,91979,126767,69817.5,83977.4,67364.4,88314.1,137784
P04441,P04441,HG2A_MOUSE,Cd74,H-2 class II histocompatibility antigen gamma chain,142021,145106,159819,114210,107027,153557,110830,93229.4
P04627,P04627;P28028;Q99N57,ARAF_MOUSE,Araf,Serine/threonine-protein kinase A-Raf,43067.4,47550.4,47595.2,43670.3,39204,49295,37015,32982.8
P04919,P04919,B3AT_MOUSE,Slc4a1,Band 3 anion transport protein,755994,778953,825098,767153,774227,670484,1.00E+06,1.08E+06
P04925,P04925,PRIO_MOUSE,Prnp,Major prion protein,2219.86,,,,,,11836.5,6696.18
P04939,P04939;P11590;Q5FW60,MUP3_MOUSE,Mup3,Major urinary protein 3,69307.3,97230.8,112988,77811.5,92212.5,93752.1,67328,63858.2
P05063,P05063,ALDOC_MOUSE,Aldoc,Fructose-bisphosphate aldolase C,108608,101062,100700,86962.2,100950,88258.3,101219,93549.5
P05064,P05063;P05064,ALDOA_MOUSE,Aldoa,Fructose-bisphosphate aldolase A,2.51E+06,2.36E+06,2.32E+06,2.40E+06,2.63E+06,2.36E+06,3.28E+06,3.70E+06
P05132,P05132;P68181,KAPCA_MOUSE,Prkaca,cAMP-dependent protein kinase catalytic subunit alpha,248089,,299420,50136.4,215186,57116.5,232840,37390.6
P05201,P05201,AATC_MOUSE,Got1,"Aspartate aminotransferase, cytoplasmic",9.82E+06,9.07E+06,1.10E+07,9.97E+06,1.15E+07,1.18E+07,1.20E+07,1.35E+07
P05202,P05202,AATM_MOUSE,Got2,"Aspartate aminotransferase, mitochondrial",2.09E+07,2.15E+07,2.23E+07,2.32E+07,2.31E+07,2.12E+07,2.57E+07,2.58E+07
P05208,P05208,CEL2A_MOUSE,Cela2a,Chymotrypsin-like elastase family member 2A,30489.5,33163.7,27520.2,41930.4,27956.2,54187.2,34883.8,23736.9
P05213;P68369;P68373,P05213;P68369;P68373,TBA1A_MOUSE;TBA1B_MOUSE;TBA1C_MOUSE,Tuba1a;Tuba1b;Tuba1c,Tubulin alpha-1B chain,753982,732234,927931,731706,764025,1.06E+06,1.05E+06,1.09E+06
P05555,P05555,ITAM_MOUSE,Itgam,Integrin alpha-M,27177.4,27633.4,27465.2,30596.8,29414.6,23036.8,22375.1,22250.6
P05627;P15066,P05627;P15066,JUND_MOUSE;JUN_MOUSE,Jun;Jund,Transcription factor Jun,,,,,25905.9,,8889.67,9178.7
P05784,P05784,K1C18_MOUSE,Krt18,"Keratin, type I cytoskeletal 18",490154,551701,419768,563461,497245,639432,504151,643332
P05977,P09542;P05977,MYL1_MOUSE,Myl1,"Myosin light chain 1/3, skeletal muscle isoform",177887,243919,301963,364427,240118,355500,237751,532870
P06151,P06151,LDHA_MOUSE,Ldha,L-lactate dehydrogenase A chain,4.33E+07,4.37E+07,4.65E+07,4.59E+07,4.77E+07,4.80E+07,4.64E+07,4.40E+07
P06330,P06330,HVM51_MOUSE,,Ig heavy chain V region AC38 205.12,37066.7,42191.3,31681.2,30917.1,36492.9,25913.5,36346.3,46646.4
P06339,P06339,HA15_MOUSE,H2-T23,"H-2 class I histocompatibility antigen, D-37 alpha chain",8031.76,,,,,,10242.7,14319.2
P06345,P06345,HB2S_MOUSE,H2-Ab1,"H-2 class II histocompatibility antigen, A-S beta chain",,,,,,30578.2,40861.2,47856.8
P06537,P06537,GCR_MOUSE,Nr3c1,Glucocorticoid receptor,116209,132197,140294,105909,99344.6,103167,85319.9,91367.8
P06683,P06683,CO9_MOUSE,C9,Complement component C9,,,14792.6,37100.8,18358.2,19727,19799,23038.9
P06684,P06684,CO5_MOUSE,C5,Complement C5,53110.3,57704.6,54236.5,45391.9,48917.3,52014.2,47363.9,48963.8
P06728,P06728,APOA4_MOUSE,Apoa4,Apolipoprotein A-IV,1.32E+06,1.44E+06,1.32E+06,1.54E+06,1.43E+06,1.40E+06,1.39E+06,1.33E+06
P06745,P06745,G6PI_MOUSE,Gpi,Glucose-6-phosphate isomerase,1.81E+06,1.73E+06,1.48E+06,1.65E+06,1.40E+06,1.49E+06,1.99E+06,1.93E+06
P06797,P06797,CATL1_MOUSE,Ctsl,Procathepsin L,281826,178582,201103,156548,209742,164737,308948,301095
P06800,P06800,PTPRC_MOUSE,Ptprc,Receptor-type tyrosine-protein phosphatase C,46020.2,48674.5,42615.2,43634.6,37330.8,37499.6,36305.6,37781
P06801,P06801,MAOX_MOUSE,Me1,NADP-dependent malic enzyme,9.73E+06,1.00E+07,1.14E+07,1.13E+07,1.12E+07,1.15E+07,1.21E+07,1.10E+07
