Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/7d/08d2783d1084814af8165d1e2d97c1/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep2_R1.mzML,/nextflow_runs/work/28/9bec088bcb7fb3843db5f7c46e0085/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep4_R1.mzML,/nextflow_runs/work/0d/46a1e273674bf39ac22939255c5c1b/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep3_R1.mzML,/nextflow_runs/work/51/3e8009125250b1475b98133587a8a2/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep3_R1.mzML,/nextflow_runs/work/bc/68df10861519f9d6dc989ed6e132e5/250625_Stitch_S4611_IB_TPP_stauros_treat_T5_rep1_R1.mzML,/nextflow_runs/work/c9/ab0965fec1300baecf563186c1a3bd/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep1_R1.mzML,/nextflow_runs/work/e5/8aeba0633abd65fc9dc44170acd0ec/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep2_R1.mzML,/nextflow_runs/work/7d/d93e795d31ba4e43bd910b97384596/250625_Stitch_S4610_IB_TPP_stauros_control_T5_rep4_R1.mzML
P06330,P06330,HVM51_MOUSE,,Ig heavy chain V region AC38 205.12,30943.5,34843,25097.9,23295.1,26594.3,33431.1,28220.5,27858.1
P06339,P01902;P06339;P14432,HA15_MOUSE,H2-T23,"H-2 class I histocompatibility antigen, D-37 alpha chain",23027.6,21403,17932.9,12168.3,20081,12881.1,16165.2,19935.6
P06537,P06537,GCR_MOUSE,Nr3c1,Glucocorticoid receptor,43865,43352.9,34986.9,35114.4,39427.3,39546.2,37909.5,32642
P06683,P06683,CO9_MOUSE,C9,Complement component C9,27841.6,34357.2,33838.2,35102,32658.3,33128.2,32007.3,36738.1
P06684,P06684,CO5_MOUSE,C5,Complement C5,50380.1,50279.4,53328.4,52308.6,47153.5,51602.9,52235.8,53281.8
P06728,P06728,APOA4_MOUSE,Apoa4,Apolipoprotein A-IV,599888,649018,659126,600669,603784,634618,674642,607949
P06745,P06745,G6PI_MOUSE,Gpi,Glucose-6-phosphate isomerase,1.47E+06,1.79E+06,2.04E+06,1.66E+06,1.98E+06,1.96E+06,2.05E+06,1.96E+06
P06797,P06797,CATL1_MOUSE,Ctsl,Procathepsin L,89529.8,104485,97877.3,103186,101453,99948.1,97423.9,93725.8
P06800,P06800,PTPRC_MOUSE,Ptprc,Receptor-type tyrosine-protein phosphatase C,37608.2,40893,35663.1,44306.2,41774.7,34532.2,39938.7,37792.4
P06801,P06801,MAOX_MOUSE,Me1,NADP-dependent malic enzyme,6.09E+06,6.28E+06,6.24E+06,5.66E+06,5.99E+06,5.37E+06,6.34E+06,5.76E+06
P06802,P06802,ENPP1_MOUSE,Enpp1,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,338949,376534,404975,336620,351963,354050,391818,396814
P06837,P06837,NEUM_MOUSE,Gap43,Neuromodulin,11291,12292.9,13435.9,13848.2,12324,7356.8,11315.3,13196.7
P06909,P06909,CFAH_MOUSE,Cfh,Complement factor H,299628,311962,342049,322496,331192,286354,317254,319650
P07091,P07091,S10A4_MOUSE,S100a4,Protein S100-A4,22234.4,19862.3,21875.7,17044.9,16095.3,18692.9,15745.4,21560.3
P07214,P07214,SPRC_MOUSE,Sparc,SPARC,24449.4,30869.3,20289.6,23521.9,20841.8,25303.6,23274.3,16936.8
P07309,P07309,TTHY_MOUSE,Ttr,Transthyretin,964381,1.14E+06,1.20E+06,1.07E+06,1.12E+06,1.34E+06,1.24E+06,1.23E+06
P07310,P07310,KCRM_MOUSE,Ckm,Creatine kinase M-type,39806.9,44011.8,48391.3,40704.4,44464.3,50578.7,46735.1,49819.8
P07310;Q04447,Q04447;P07310,KCRB_MOUSE;KCRM_MOUSE,Ckb;Ckm,Creatine kinase M-type,,8440.21,14425.6,8983.5,,15359.1,,15115
P07356,P07356,ANXA2_MOUSE,Anxa2,Annexin A2,293261,328204,309200,291525,327981,292076,316176,327970
P07361,P07361;Q60590,A1AG2_MOUSE,Orm2,Alpha-1-acid glycoprotein 2,145111,216441,195436,170181,161370,118679,189386,187688
P07628;P36369,P07628;P36369,K1B26_MOUSE;K1KB8_MOUSE,Klk1b26;Klk1b8,Kallikrein 1-related peptidase b8,48076.1,52343.5,48580.9,51038.1,47528.9,31562.5,47424.9,49173.3
P07724,P07724,ALBU_MOUSE,Alb,Albumin,1.15E+07,2.22E+07,2.23E+07,1.86E+07,2.21E+07,2.13E+07,2.13E+07,2.13E+07
P07742,P07742,RIR1_MOUSE,Rrm1,Ribonucleoside-diphosphate reductase large subunit,11313.9,11431.2,14011.2,14618.2,13264.3,15420.6,9980.96,13281.2
P07758;Q00896,P07758;Q00896,A1AT1_MOUSE;A1AT3_MOUSE,Serpina1a;Serpina1c,Alpha-1-antitrypsin 1-1,327327,664058,756272,713468,819012,833252,803619,750499
P07759,P07759,SPA3K_MOUSE,Serpina3k,Serine protease inhibitor A3K,259455,411823,376014,362105,443991,492511,403970,380922
P07759;Q03734,P07759;Q03734;P29621;Q80X76,SPA3K_MOUSE;SPA3M_MOUSE,Serpina3k;Serpina3m,Serine protease inhibitor A3K,,17219.1,,8337.06,,20313.8,12638.4,21276.3
P07759;Q03734;Q5I2A0;Q91WP6,P07759;Q5I2A0;Q03734;Q91WP6;P29621,SPA3G_MOUSE;SPA3K_MOUSE;SPA3M_MOUSE;SPA3N_MOUSE,Serpina3g;Serpina3k;Serpina3m;Serpina3n,Serine protease inhibitor A3K,362571,632807,636077,482654,727900,474609,551224,822821
P07759;Q03734;Q80X76,P07759;Q03734;P29621;Q80X76,SPA3F_MOUSE;SPA3K_MOUSE;SPA3M_MOUSE,Serpina3f;Serpina3k;Serpina3m,Serine protease inhibitor A3K,17094.6,61249.5,77906.5,28192.5,63610.8,133815,52643.7,86918.2
P07901,P07901,HS90A_MOUSE,Hsp90aa1,Heat shock protein HSP 90-alpha,1.29E+06,1.81E+06,1.80E+06,1.47E+06,1.64E+06,1.75E+06,1.67E+06,1.78E+06
P07901;P11499,P07901;P11499,HS90A_MOUSE;HS90B_MOUSE,Hsp90aa1;Hsp90ab1,Heat shock protein HSP 90-alpha,6.39E+06,7.29E+06,7.33E+06,6.81E+06,7.22E+06,6.86E+06,7.37E+06,7.34E+06
P08003,P08003,PDIA4_MOUSE,Pdia4,Protein disulfide-isomerase A4,975520,1.23E+06,1.28E+06,1.16E+06,1.29E+06,1.26E+06,1.25E+06,1.31E+06
P08030,P08030,APT_MOUSE,Aprt,Adenine phosphoribosyltransferase,164247,167941,162721,152137,203444,168574,194802,144737
P08032,P08032,SPTA1_MOUSE,Spta1,"Spectrin alpha chain, erythrocytic 1",71135.5,81905,85433.1,79544.6,86439,83970.5,96972,82672.9
P08032;P16546,P08032;P16546,SPTA1_MOUSE;SPTN1_MOUSE,Spta1;Sptan1,"Spectrin alpha chain, erythrocytic 1",145913,191121,181668,157255,150378,156739,154642,166247
P08043;Q6P560,P08043;Q6P560,ZFP2_MOUSE;ZN182_MOUSE,Zfp2;Znf182,Zinc finger protein ZFP2,,,,1188.08,,4484.75,1845.82,2203.23
P08071,P08071,TRFL_MOUSE,Ltf,Lactotransferrin,6164.19,26524.8,39955.4,22077.9,29211.7,30827,30641.5,
P08101,P08101,FCGR2_MOUSE,Fcgr2,Low affinity immunoglobulin gamma Fc region receptor II,42355.2,82962.3,84838.9,69673.3,81012.8,102286,91431.4,99487.9
P08103,P08103,HCK_MOUSE,Hck,Tyrosine-protein kinase HCK,37558.5,44485.8,29909.5,14748.9,37868.4,16253.5,15284.7,19972.8
P08103;P25911;Q04736;Q04859,P06240;P08103;P14234;P16092;P16277;P21803;P25911;P39688;Q03142;Q04736;Q04859;Q61851;Q9JHU3;Q9JKV2,HCK_MOUSE;LYN_MOUSE;MAK_MOUSE;YES_MOUSE,Hck;Lyn;Mak;Yes1,Tyrosine-protein kinase HCK,1.01E+06,1.15E+06,1.12E+06,972321,1.29E+06,1.37E+06,1.12E+06,1.32E+06
P08113,P08113,ENPL_MOUSE,Hsp90b1,Endoplasmin,3.47E+06,4.32E+06,4.61E+06,4.00E+06,4.67E+06,4.35E+06,4.49E+06,4.75E+06
P08113;P11499,P08113;P11499,ENPL_MOUSE;HS90B_MOUSE,Hsp90ab1;Hsp90b1,Endoplasmin,2.06E+06,2.03E+06,2.22E+06,2.14E+06,2.34E+06,2.04E+06,2.38E+06,2.00E+06
P08122,P08122,CO4A2_MOUSE,Col4a2,Collagen alpha-2(IV) chain,24156.8,28747.6,24342.6,26547.1,23747.2,20625.4,21195.9,20140.9
P08207,P08207,S10AA_MOUSE,S100a10,Protein S100-A10,,18189.4,23543.7,15758.4,25187.6,32096.1,30167.4,19027.5
P08226,P08226,APOE_MOUSE,Apoe,Apolipoprotein E,5.42E+06,6.68E+06,6.77E+06,6.05E+06,6.86E+06,6.34E+06,6.87E+06,6.88E+06
P08228,P08228,SODC_MOUSE,Sod1,Superoxide dismutase [Cu-Zn],292124,359076,389947,367208,352516,385227,371216,410078
P08249,P08249,MDHM_MOUSE,Mdh2,"Malate dehydrogenase, mitochondrial",7.08E+06,9.96E+06,1.11E+07,7.99E+06,1.14E+07,1.37E+07,1.10E+07,1.28E+07
P08551;P20152;P31001,P08551;P08553;P19246;P20152;P31001;P46660,DESM_MOUSE;NFL_MOUSE;VIME_MOUSE,Des;Nefl;Vim,Neurofilament light polypeptide,115499,113239,111648,121616,108878,93114.8,110988,111042
P08607,P08607,C4BPA_MOUSE,C4bpa,C4b-binding protein,122044,132697,124382,121920,134369,117735,137792,111038
P08752,P08752,GNAI2_MOUSE,Gnai2,Guanine nucleotide-binding protein G(i) subunit alpha-2,21928.6,32684.9,31271.2,38219.5,29585.6,34505.9,38584.1,39986.6
P08752;P18872;P50149;P63094;Q6R0H7;Q9DC51,B2RSH2;P08752;P18872;P20612;P50149;P63094;Q3V3I2;Q6R0H7;Q8CGK7;Q9DC51,GNAI2_MOUSE;GNAI3_MOUSE;GNAO_MOUSE;GNAS1_MOUSE;GNAS2_MOUSE;GNAT2_MOUSE,Gnai2;Gnai3;Gnao1;Gnas;Gnat2,Guanine nucleotide-binding protein G(i) subunit alpha-2,564905,557953,534831,571368,444314,419186,406467,596216
P08752;P18872;Q9DC51,B2RSH2;P08752;P18872;Q9DC51,GNAI2_MOUSE;GNAI3_MOUSE;GNAO_MOUSE,Gnai2;Gnai3;Gnao1,Guanine nucleotide-binding protein G(i) subunit alpha-2,9138.32,,24527.7,20595,18455.9,24723.8,28486.6,
P08752;P50149;Q9DC51,B2RSH2;P08752;P20612;P50149;Q3V3I2;Q9DC51,GNAI2_MOUSE;GNAI3_MOUSE;GNAT2_MOUSE,Gnai2;Gnai3;Gnat2,Guanine nucleotide-binding protein G(i) subunit alpha-2,58662.4,76572.4,84130.6,56880.3,75128.2,80913.9,83040.8,83008
P08752;Q9DC51,B2RSH2;P08752;Q9DC51,GNAI2_MOUSE;GNAI3_MOUSE,Gnai2;Gnai3,Guanine nucleotide-binding protein G(i) subunit alpha-2,104315,127065,135601,126068,102333,120529,106638,131965
P08775,P08775,RPB1_MOUSE,Polr2a,DNA-directed RNA polymerase II subunit RPB1,43962.8,15887.2,21943.6,18644.8,336577,13412.3,57834.1,59978.9
P08905;P17897,P08905;P17897,LYZ1_MOUSE;LYZ2_MOUSE,Lyz1;Lyz2,Lysozyme C-2,63471.8,69922.7,85761.1,77772.7,58169,61101.9,65811.9,64607.9
P09055,P09055,ITB1_MOUSE,Itgb1,Integrin beta-1,366332,446506,462270,413538,358168,360182,391881,469422
P09103,P09103,PDIA1_MOUSE,P4hb,Protein disulfide-isomerase,6.84E+06,1.29E+07,1.31E+07,9.51E+06,1.30E+07,1.22E+07,1.18E+07,1.39E+07
P09405,P09405,NUCL_MOUSE,Ncl,Nucleolin,494686,467287,524000,510398,562197,486143,536895,508193
P09411,P09411,PGK1_MOUSE,Pgk1,Phosphoglycerate kinase 1,1.44E+06,1.81E+06,1.76E+06,1.82E+06,1.64E+06,1.88E+06,1.72E+06,1.87E+06
P09528,P09528,FRIH_MOUSE,Fth1,Ferritin heavy chain,45706,53393,41656.6,35024,44464.6,37274.8,37030,31523.4
P09581,P09581,CSF1R_MOUSE,Csf1r,Macrophage colony-stimulating factor 1 receptor,23972.1,40905,39945.5,40821.1,41249.9,40482.4,41394.6,46625.7
P09602,P09602,HMGN2_MOUSE,Hmgn2,Non-histone chromosomal protein HMG-17,461558,615565,632104,571062,563355,651848,690140,682803
P09671,P09671,SODM_MOUSE,Sod2,"Superoxide dismutase [Mn], mitochondrial",247938,1.40E+06,1.68E+06,1.09E+06,1.25E+06,1.64E+06,1.41E+06,1.73E+06
P09803,P09803,CADH1_MOUSE,Cdh1,Cadherin-1,32269.9,39969,50606.1,33206.5,28561.5,37091.7,35407.5,47583.4
P09813,P09813,APOA2_MOUSE,Apoa2,Apolipoprotein A-II,63418.3,54506.2,59274.3,54821.9,81529.3,79212.5,64474.6,62541.5
P09925,P09925,SURF1_MOUSE,Surf1,Surfeit locus protein 1,64706.1,78296.6,88959.1,74861.5,85997.2,97132.3,98324.9,86606.5
P09926,P09926,SURF2_MOUSE,Surf2,Surfeit locus protein 2,,7379.46,4124.5,2298.48,,5205.65,3995.69,4326.88
P0C0A3,P0C0A3,CHMP6_MOUSE,Chmp6,Charged multivesicular body protein 6,72802.8,98259.2,93671.6,88167,77954,62157.2,70632.1,88999.3
P0C0S6;Q3THW5,P0C0S6;Q3THW5,H2AV_MOUSE;H2AZ_MOUSE,H2az1;H2az2,Histone H2A.Z,163838,134870,144597,123321,134183,140537,123388,133464
P0C673,P0C673,IGS11_MOUSE,Igsf11,Immunoglobulin superfamily member 11,9911.79,4552.72,9916.17,8421.17,5960.41,5390.02,,6450.58
P0C7L0,P0C7L0,WIPF3_MOUSE,Wipf3,WAS/WASL-interacting protein family member 3,61745.4,62138.1,68367.9,77865.4,61016,50846.9,55282,60920.3
P0C7N9,P0C7N9,PSMG4_MOUSE,Psmg4,Proteasome assembly chaperone 4,38420.4,39073.6,30586.7,33269.8,29098,29742.9,35831.3,32704.4
P0C7T6,P0C7T6,ATX1L_MOUSE,Atxn1l,Ataxin-1-like,,,,,3821.08,4943.37,6516.46,4990.79
P0C872,P0C872,JMJD7_MOUSE,Jmjd7,Bifunctional peptidase and (3S)-lysyl hydroxylase Jmjd7,51687.4,,62763.1,90132.8,80868.6,57836.9,66996.4,70319.2
P0C8B4,P0C8B4,GON7_MOUSE,Gon7,EKC/KEOPS complex subunit GON7,,3252.88,1426.47,1483.12,3064.84,,,
P0CG14,P0CG14,DERPC_MOUSE,Derpc,Decreased expression in renal and prostate cancer protein,8035.52,5752.84,12633.3,10695.3,8182.17,9044.01,9552.95,12529.2
P0DJE0,P0DJE0,PT100_MOUSE,Pet100,"Protein PET100 homolog, mitochondrial",97676,78198.7,103784,82834,105191,99193.1,95186.4,114432
P0DJF2,P0DJF2,PT117_MOUSE,Pet117,"Protein PET117 homolog, mitochondrial",34861.9,42331.7,37134.2,23330.1,42202.1,36755.7,34235.6,39301.9
P0DN34,P0DN34,NDUB1_MOUSE,Ndufb1,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,,37792.1,65232.3,33559.2,45448.4,51951.9,50741,45075.1
P0DN89,P0DN89,TM254_MOUSE,Tmem254,Transmembrane protein 254,406080,439658,491802,499161,452388,363816,472841,421329
P0DOV1,P0DOV1,IFI5B_MOUSE,Mnda,Interferon-activable protein 205-B,3072.84,1530.63,1617.49,1131.8,,2047.37,1869.05,2103.24
P0DOV1;P0DOV2,P0DOV1;P0DOV2;Q8CGE8,IFI4_MOUSE;IFI5B_MOUSE,Ifi204;Mnda,Interferon-activable protein 205-B,357691,408357,364988,377766,399028,273187,374536,381040
P0DOV2,P0DOV2,IFI4_MOUSE,Ifi204,Interferon-activable protein 204,64964.2,42902.3,56328.8,58764.7,58436.6,61204.4,52143.1,57021.4
P0DP26;P0DP27;P0DP28,P0DP26;P0DP27;P0DP28,CALM1_MOUSE;CALM2_MOUSE;CALM3_MOUSE,Calm1;Calm2;Calm3,Calmodulin-1,13994,17984.4,28976.3,21798.7,24564.7,32791.1,40631.7,19201.4
P0DP99,P0DP99,STMP1_MOUSE,Stmp1,Short transmembrane mitochondrial protein 1,,,,,4692.1,12026.8,8099.14,
P0DW87,P0DW87,ZTRF1_MOUSE,Zftraf1,Zinc finger TRAF-type-containing protein 1,13956.6,15864.5,14223.7,16990.8,17481.9,15201.8,18924.8,12528.1
P10107,P10107,ANXA1_MOUSE,Anxa1,Annexin A1,12740.4,16765.7,17246.6,14992.8,18886.9,20028,16044.4,16744.3
P10126,P10126,EF1A1_MOUSE,Eef1a1,Elongation factor 1-alpha 1,2.47E+06,3.37E+06,3.14E+06,2.55E+06,3.21E+06,3.09E+06,3.03E+06,3.67E+06
P10126;P62631,P10126;P62631,EF1A1_MOUSE;EF1A2_MOUSE,Eef1a1;Eef1a2,Elongation factor 1-alpha 1,3.75E+06,6.54E+06,6.30E+06,5.66E+06,5.88E+06,6.57E+06,5.98E+06,7.24E+06
P10404,P10404,ENV1_MOUSE,,MLV-related proviral Env polyprotein,22041.9,21099.6,20121,22585,25456.7,17577.1,20397.8,20781.2
P10493,P10493,NID1_MOUSE,Nid1,Nidogen-1,15300.9,17196.5,15330,17473.8,17170.9,18377.7,20257.5,16914.4
P10518,P10518,HEM2_MOUSE,Alad,Delta-aminolevulinic acid dehydratase,1.39E+06,1.46E+06,1.50E+06,1.41E+06,1.58E+06,1.36E+06,1.51E+06,1.46E+06
P10605,P10605,CATB_MOUSE,Ctsb,Cathepsin B,452873,477036,551004,511923,498205,529085,534687,505461
P10630,P10630,IF4A2_MOUSE,Eif4a2,Eukaryotic initiation factor 4A-II,735233,849902,943419,835878,949430,891162,1.00E+06,949678
P10630;P60843,P60843;P10630,IF4A1_MOUSE;IF4A2_MOUSE,Eif4a1;Eif4a2,Eukaryotic initiation factor 4A-II,781759,847432,955522,858130,911912,871403,928435,857568
P10630;P60843;Q91VC3,P60843;Q91VC3;P10630,IF4A1_MOUSE;IF4A2_MOUSE;IF4A3_MOUSE,Eif4a1;Eif4a2;Eif4a3,Eukaryotic initiation factor 4A-II,142298,237221,254371,208795,237197,262185,244973,247550
P10637,P10637,TAU_MOUSE,Mapt,Microtubule-associated protein tau,110150,112343,98582.6,109192,106529,83828.7,111545,103056
P10639,P10639,THIO_MOUSE,Txn,Thioredoxin,2.48E+06,2.82E+06,3.34E+06,2.35E+06,3.41E+06,2.69E+06,2.98E+06,3.12E+06
P10648,P10648;P13745,GSTA2_MOUSE,Gsta2,Glutathione S-transferase A2,383129,631968,659810,489611,681277,595564,583232,704965
P10648;P30115,P10648;P13745;P30115,GSTA2_MOUSE;GSTA3_MOUSE,Gsta2;Gsta3,Glutathione S-transferase A2,467321,1.28E+06,1.31E+06,960562,1.59E+06,1.56E+06,1.35E+06,1.45E+06
P10649,P10649,GSTM1_MOUSE,Gstm1,Glutathione S-transferase Mu 1,6.09E+06,1.05E+07,1.05E+07,7.62E+06,8.73E+06,8.92E+06,8.81E+06,1.15E+07
P10649;P15626;P48774;Q80W21;Q8R5I6,P10649;P15626;P48774;Q80W21;Q8R5I6,GSTM1_MOUSE;GSTM2_MOUSE;GSTM4_MOUSE;GSTM5_MOUSE;GSTM7_MOUSE,Gstm1;Gstm2;Gstm4;Gstm5;Gstm7,Glutathione S-transferase Mu 1,1.21E+07,1.05E+07,9.01E+06,9.72E+06,1.07E+07,7.24E+06,8.89E+06,9.61E+06
P10649;P15626;Q80W21;Q8R5I6,P10649;P15626;Q80W21;Q8R5I6,GSTM1_MOUSE;GSTM2_MOUSE;GSTM4_MOUSE;GSTM7_MOUSE,Gstm1;Gstm2;Gstm4;Gstm7,Glutathione S-transferase Mu 1,78121.7,109311,90023.9,,33049.6,17471.2,,
P10649;P19639,P10649;P19639,GSTM1_MOUSE;GSTM3_MOUSE,Gstm1;Gstm3,Glutathione S-transferase Mu 1,2.59E+06,3.93E+06,3.91E+06,3.52E+06,3.89E+06,3.63E+06,3.63E+06,3.80E+06
P10649;P19639;Q80W21,P10649;P19639;Q80W21,GSTM1_MOUSE;GSTM3_MOUSE;GSTM7_MOUSE,Gstm1;Gstm3;Gstm7,Glutathione S-transferase Mu 1,,42316.2,64941.5,34371.7,25422.8,80124.8,47636.5,45610.9
P10711,P10711,TCEA1_MOUSE,Tcea1,Transcription elongation factor A protein 1,254641,242280,227479,242526,256647,224344,250003,227326
P10833,P10833,RRAS_MOUSE,Rras,Ras-related protein R-Ras,26766.6,24071.8,24573.2,28580,29512.3,23044.6,23767.7,26012.5
P10833;P62071,P10833;P62071,RRAS2_MOUSE;RRAS_MOUSE,Rras;Rras2,Ras-related protein R-Ras,145956,147722,127687,142113,122718,104576,123604,138137
P10852,P10852,4F2_MOUSE,Slc3a2,Amino acid transporter heavy chain SLC3A2,57699.4,76654.2,78391.8,70087.4,74436.8,69872.1,73974.9,81598.1
P10853;P10854;Q64475;Q64478;Q64525;Q6ZWY9;Q8CGP1;Q8CGP2,P10853;P10854;P70696;Q64475;Q64478;Q64524;Q64525;Q6ZWY9;Q8CGP0;Q8CGP1;Q8CGP2;Q9D2U9,H2B1B_MOUSE;H2B1C_MOUSE;H2B1F_MOUSE;H2B1H_MOUSE;H2B1K_MOUSE;H2B1M_MOUSE;H2B1P_MOUSE;H2B2B_MOUSE,H2bc12;H2bc14;H2bc3;H2bc4;H2bc7;H2bc9;Hist1h2bp;Hist2h2bb,Histone H2B type 1-F/J/L,1.42E+06,2.06E+06,2.02E+06,1.84E+06,1.91E+06,2.30E+06,1.81E+06,2.24E+06
P10922,P10922,H10_MOUSE,H1-0,Histone H1.0,195008,194990,191287,198859,244370,208436,190001,226152
P11031,P11031,TCP4_MOUSE,Sub1,Activated RNA polymerase II transcriptional coactivator p15,166403,174085,190716,205306,194462,165215,225027,173567
P11087,P11087,CO1A1_MOUSE,Col1a1,Collagen alpha-1(I) chain,55063.9,67339.3,65506.8,53356.6,59654.9,54153,59259.5,73537.3
P11103,P11103,PARP1_MOUSE,Parp1,Poly [ADP-ribose] polymerase 1,75800,86463.8,92324.6,86483.8,93548.9,77422,95850.3,103489
P11152,P11152,LIPL_MOUSE,Lpl,Lipoprotein lipase,,,2663.06,1154.69,,,,4346.26
P11276,P11276,FINC_MOUSE,Fn1,Fibronectin,165074,227521,227890,208934,212731,205364,234854,228985
P11352,P11352,GPX1_MOUSE,Gpx1,Glutathione peroxidase 1,900588,1.27E+06,1.11E+06,1.03E+06,1.05E+06,1.20E+06,1.04E+06,1.17E+06
P11370,P10404;P11370,ENV2_MOUSE,Fv4,Retrovirus-related Env polyprotein from Fv-4 locus,71595.9,78140.1,87145.4,69707.3,68396.9,54388.4,60393.9,57545.6
P11404,P11404,FABPH_MOUSE,Fabp3,"Fatty acid-binding protein, heart",221104,211751,222237,205048,244785,237125,247672,229794
P11438,P11438,LAMP1_MOUSE,Lamp1,Lysosome-associated membrane glycoprotein 1,742619,692619,755814,675983,710860,530562,605725,772078
P11499,P11499,HS90B_MOUSE,Hsp90ab1,Heat shock protein HSP 90-beta,7.65E+06,9.55E+06,8.91E+06,8.06E+06,8.24E+06,8.40E+06,8.38E+06,8.93E+06
P11531,P11531,DMD_MOUSE,Dmd,Dystrophin,26533.9,27268.8,35999.1,32964.9,28654.3,33738.4,32476.9,32485.5
P11609,P11609,CD1D1_MOUSE,Cd1d1,Antigen-presenting glycoprotein CD1d1,294180,351571,371916,359253,353015,338471,341822,367854
P11627,P11627,L1CAM_MOUSE,L1cam,Neural cell adhesion molecule L1,8141.88,7114.91,,11258,7293.83,8855.28,,4914.69
P11672,P11672,NGAL_MOUSE,Lcn2,Neutrophil gelatinase-associated lipocalin,,6103.88,7558.19,9155.12,,11457.9,8644.53,8200.19
P11679,P11679,K2C8_MOUSE,Krt8,"Keratin, type II cytoskeletal 8",1.65E+06,1.71E+06,1.59E+06,2.01E+06,1.66E+06,1.87E+06,2.01E+06,2.01E+06
P11679;P20152;P31001,P11679;P15331;P20152;P31001;Q9DCV7,DESM_MOUSE;K2C8_MOUSE;VIME_MOUSE,Des;Krt8;Vim,"Keratin, type II cytoskeletal 8",203536,422794,394369,395637,271260,505518,397301,455045
P11679;P20152;Q3UV17;Q8VED5;Q922U2,P03995;P07744;P11679;P20152;P50446;Q8BGZ7;Q922U2;Q9Z331;Q8VED5;Q99M73;Q9DCV7;P97861;Q3UV17;Q6IMF0;Q9ERE2;Q9Z2T6,K22O_MOUSE;K2C5_MOUSE;K2C79_MOUSE;K2C8_MOUSE;VIME_MOUSE,Krt5;Krt76;Krt79;Krt8;Vim,"Keratin, type II cytoskeletal 8",622974,761021,811581,654888,571740,719733,743377,857234
P11679;Q3UV17,P11679;P50446;Q8BGZ7;Q9Z331;Q99M73;Q3UV17,K22O_MOUSE;K2C8_MOUSE,Krt76;Krt8,"Keratin, type II cytoskeletal 8",115611,88030.3,95291.2,137543,108082,109516,138904,116096
P11679;Q8VED5;Q922U2,P11679;Q922U2;Q6IFZ6;Q8VED5,K2C5_MOUSE;K2C79_MOUSE;K2C8_MOUSE,Krt5;Krt79;Krt8,"Keratin, type II cytoskeletal 8",5056.46,11354.6,11561.1,12322.7,8619,15060.2,37546.5,11311.5
P11679;Q922U2,P11679;Q8BGZ7;Q922U2,K2C5_MOUSE;K2C8_MOUSE,Krt5;Krt8,"Keratin, type II cytoskeletal 8",373832,394621,353216,411398,368700,394650,448406,443518
P11680,P11680,PROP_MOUSE,Cfp,Properdin,60161.4,70373.6,63771.4,64714.3,66197.4,66963.2,75479.4,71879.7
P11688,P11688,ITA5_MOUSE,Itga5,Integrin alpha-5,82307,88089.8,101851,88760.9,78896.7,87986.2,79025.2,97845.3
P11714,P11714,CP2D9_MOUSE,Cyp2d9,Cytochrome P450 2D9,346568,377348,334277,329139,361841,305039,332389,294495
P11714;P24456,P11714;P24456,CP2D9_MOUSE;CP2DA_MOUSE,Cyp2d10;Cyp2d9,Cytochrome P450 2D9,29119.6,35182.7,34634.9,32072.8,38662.4,27363.7,35094.4,38817.9
P11714;P24456;P24457,P11714;P24456;P24457,CP2D9_MOUSE;CP2DA_MOUSE;CP2DB_MOUSE,Cyp2d10;Cyp2d11;Cyp2d9,Cytochrome P450 2D9,736948,918787,959996,745525,771141,919282,791011,825397
P11714;P24457,P11714;P24457,CP2D9_MOUSE;CP2DB_MOUSE,Cyp2d11;Cyp2d9,Cytochrome P450 2D9,326266,,,287501,244346,,,277884
P11725,P11725,OTC_MOUSE,Otc,"Ornithine transcarbamylase, mitochondrial",1.24E+07,1.75E+07,1.76E+07,1.43E+07,1.66E+07,1.52E+07,1.63E+07,1.81E+07
P11835,P11835,ITB2_MOUSE,Itgb2,Integrin beta-2,104755,129597,123285,123896,114348,112960,111915,118077
P11859,P11859,ANGT_MOUSE,Agt,Angiotensinogen,129686,162636,135085,129085,127990,143764,144346,144050
P11862,P11862,GAS2_MOUSE,Gas2,Growth arrest-specific protein 2,81606.7,82639.5,82475,93156.5,84641.5,79357.4,91148.6,83060.8
P11928,P11928,OAS1A_MOUSE,Oas1a,2'-5'-oligoadenylate synthase 1A,,8492.57,,,4474.27,4841.35,6920.47,5804.29
P11930,P11930,NUD19_MOUSE,Nudt19,Acyl-coenzyme A diphosphatase NUDT19,236057,333352,327551,276924,345430,342489,313539,391699
P11983,P11983,TCPA_MOUSE,Tcp1,T-complex protein 1 subunit alpha,600111,845192,855232,761402,841190,817932,873560,893894
