Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,/nextflow_runs/work/0b/cd9f8e0d84ba1195e591146376f93f/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep3_R1.mzML,/nextflow_runs/work/d7/f784ad75390802c2c3b005e80fff55/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep2_R1.mzML,/nextflow_runs/work/a1/85649604e2b2415d2f64f44be281e9/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep4_R1.mzML,/nextflow_runs/work/56/7b52e7aeb74109b02169869c2d7ecc/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep4_R1.mzML,/nextflow_runs/work/1a/e8750790b3adc3a7a1a37645361f80/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep1_R1.mzML,/nextflow_runs/work/3e/0970b23559fe20edc6370815db8ee6/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep1_R1.mzML,/nextflow_runs/work/20/b9465cbeac6ea65d7bd30af785176a/250625_Stitch_S4611_IB_TPP_stauros_treat_T6_rep2_R1.mzML,/nextflow_runs/work/70/9fc6e04e87ba43745794f5582a1775/250625_Stitch_S4610_IB_TPP_stauros_control_T6_rep3_R1.mzML
O55242,O55242,SGMR1_MOUSE,Sigmar1,Sigma non-opioid intracellular receptor 1,460886,184636,434456,275614,379786,467556,765476,208915
O70131,O70131,NINJ1_MOUSE,Ninj1,Ninjurin-1,877.776,1367.03,,,,1417.89,5041.34,
O70133,O70133,DHX9_MOUSE,Dhx9,ATP-dependent RNA helicase A,12216,11294.5,5007.24,16085.5,10824.2,3183.98,7496.56,9522.56
O70152,O70152,DPM1_MOUSE,Dpm1,Dolichol-phosphate mannosyltransferase subunit 1,18136.9,13386.1,,32969.4,,,2615.59,13187.5
O70161,O70161,PI51C_MOUSE,Pip5k1c,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma,2738.49,3273.82,3880.68,2035.37,,3264.1,7806.4,3020.24
O70172,O70172,PI42A_MOUSE,Pip4k2a,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,14978.6,20026.8,20704.2,22003.3,21995.7,24148.8,21843.7,18440.9
O70172;Q80XI4,O70172;Q80XI4,PI42A_MOUSE;PI42B_MOUSE,Pip4k2a;Pip4k2b,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,25480,19547.1,23499.2,20425.7,21310.1,22286.5,20890.8,12657
O70174;Q91X60;Q9R0W9,O70174;Q91X60;Q9R0W9,ACHA2_MOUSE;ACHA4_MOUSE;ACHA6_MOUSE,Chrna2;Chrna4;Chrna6,Neuronal acetylcholine receptor subunit alpha-4,,,,,5604.52,,,
O70200,O70200,AIF1_MOUSE,Aif1,Allograft inflammatory factor 1,12920,13938.2,10393.3,10980.9,13960.9,13676.1,16500.1,18342.4
O70209,O70209,PDLI3_MOUSE,Pdlim3,PDZ and LIM domain protein 3,,2892.56,,5050.35,,4726.47,4691.1,
O70228,O70228,ATP9A_MOUSE,Atp9a,Probable phospholipid-transporting ATPase IIA,10014.7,13423,11506,11568.5,10228.6,14738.4,10586.8,11830
O70228;P98195,O70228;P98195,ATP9A_MOUSE;ATP9B_MOUSE,Atp9a;Atp9b,Probable phospholipid-transporting ATPase IIA,3454.82,2444.2,5314.93,2584.05,8342.24,4165.83,6342.13,5480.57
O70230,O70230;Q8BMU0,ZN143_MOUSE,Znf143,Zinc finger protein 143,,,9391.04,4118.26,3487.98,7686.89,5879.86,7462.92
O70250,O70250,PGAM2_MOUSE,Pgam2,Phosphoglycerate mutase 2,15178.3,13693.5,23716.8,15439.4,15259.7,15755.9,30042.8,18564.9
O70250;Q9DBJ1,O70250;Q9DBJ1,PGAM1_MOUSE;PGAM2_MOUSE,Pgam1;Pgam2,Phosphoglycerate mutase 2,2.07E+06,2.68E+06,2.30E+06,2.22E+06,2.65E+06,2.44E+06,2.77E+06,1.37E+06
O70251,O70251,EF1B_MOUSE,Eef1b,Elongation factor 1-beta,1.42E+06,2.45E+06,2.59E+06,1.71E+06,2.76E+06,2.29E+06,2.23E+06,1.00E+06
O70251;P57776,P57776;O70251,EF1B_MOUSE;EF1D_MOUSE,Eef1b;Eef1d,Elongation factor 1-beta,,1872.12,,,532.277,1592.35,4399.51,
O70252,O70252,HMOX2_MOUSE,Hmox2,Heme oxygenase 2,30461,27925.2,24960.7,28768.4,25679.2,26479.3,28842.1,34362.1
O70255,O70255,MPZL2_MOUSE,Mpzl2,Myelin protein zero-like protein 2,,,,,,,2791.86,4564.43
O70274,O70274,TP4A2_MOUSE,Ptp4a2,Protein tyrosine phosphatase type IVA 2,39095.7,33830.7,32356.8,34406.2,38056.9,36639.5,41588.6,29755.1
O70274;Q63739,O70274;Q63739,TP4A1_MOUSE;TP4A2_MOUSE,Ptp4a1;Ptp4a2,Protein tyrosine phosphatase type IVA 2,16916.5,22558.6,20491.7,18472.7,25818.8,20973.5,32643.1,6429.79
O70279,O70279,ESS2_MOUSE,Ess2,Splicing factor ESS-2 homolog,2799.61,4715.98,6119.62,4989.07,4352.76,4077.38,2338.76,6060.08
O70303,O70303,CIDEB_MOUSE,Cideb,Lipid transferase CIDEB,5283.81,5610.04,4282.33,10021.6,7109.34,9796.96,4240.98,3437.13
O70305,O70305,ATX2_MOUSE,Atxn2,Ataxin-2,85998.7,80848.7,85408.5,79375.8,78876.1,80277.4,80434.6,67923.9
O70305;Q7TQH0,O70305;Q7TQH0,ATX2L_MOUSE;ATX2_MOUSE,Atxn2;Atxn2l,Ataxin-2,7534.75,10636.8,7927.71,7222.56,,5380.14,9330.52,8088.28
O70309,O70309,ITB5_MOUSE,Itgb5,Integrin beta-5,8742.74,6061.22,10931.6,7919.38,7112.36,7831.93,6599.48,8865.53
O70310,O70310,NMT1_MOUSE,Nmt1,Glycylpeptide N-tetradecanoyltransferase 1,23669.3,26558.2,21490.7,22926.9,20379.4,19038,17405.6,19661.5
O70311,O70311,NMT2_MOUSE,Nmt2,Glycylpeptide N-tetradecanoyltransferase 2,40707.1,35329.6,33171.4,37923.5,37823.9,26886.8,18081.4,30724.7
O70318,O70318,E41L2_MOUSE,Epb41l2,Band 4.1-like protein 2,112931,107774,135648,122718,115743,119574,115632,116178
O70318;P48193,O70318;P48193,E41L2_MOUSE;EPB41_MOUSE,Epb41;Epb41l2,Band 4.1-like protein 2,,,,,1095.26,,1131.34,
O70324,O70324,MOT8_MOUSE,Slc16a2,Monocarboxylate transporter 8,,6046.03,,,9008.3,4999.5,10469,
O70325,O70325,GPX4_MOUSE,Gpx4,Phospholipid hydroperoxide glutathione peroxidase,42417.3,47255.4,33933.3,42615.9,43636.1,44500.6,38742.3,33818
O70333,O70333,CRIPT_MOUSE,Cript,Cysteine-rich PDZ-binding protein,7017.32,6088.67,10377.7,8680.75,6551.9,3864.88,6330.5,8038.34
O70362,O70362,PHLD_MOUSE,Gpld1,Phosphatidylinositol-glycan-specific phospholipase D,176278,207004,172366,167141,180917,188646,185096,172243
O70378,O70378,EMC8_MOUSE,Emc8,ER membrane protein complex subunit 8,9906.51,4486.54,4532.65,8853.73,5681.42,3568.92,3476.69,5838.82
O70400,O70400,PDLI1_MOUSE,Pdlim1,PDZ and LIM domain protein 1,335350,261355,319921,325849,328169,276587,320279,225469
O70404,O70404,VAMP8_MOUSE,Vamp8,Vesicle-associated membrane protein 8,202431,222033,241667,190018,206203,213738,307887,111742
O70423,O70423,AOC3_MOUSE,Aoc3,Membrane primary amine oxidase,4444.78,8199.69,,,3873.86,4960.67,3495.11,4530.06
O70433,O70433,FHL2_MOUSE,Fhl2,Four and a half LIM domains protein 2,3014.38,525.908,2316.12,2511.48,2164.2,2445.68,2513.06,1674.83
O70435,O70435,PSA3_MOUSE,Psma3,Proteasome subunit alpha type-3,1.06E+06,1.15E+06,1.14E+06,1.17E+06,1.10E+06,1.32E+06,1.36E+06,810336
O70439,O70439,STX7_MOUSE,Stx7,Syntaxin-7,71976.7,65936.5,73029.8,60267.9,61402.8,63044,66814.1,63745.3
O70451,O70451,MOT2_MOUSE,Slc16a7,Monocarboxylate transporter 2,86418.9,91747.9,87155.9,73765.9,94460.2,84933.5,76315,85869.8
O70456,O70456,1433S_MOUSE,Sfn,14-3-3 protein sigma,3.14E+06,2.98E+06,2.79E+06,3.22E+06,2.67E+06,2.21E+06,1.93E+06,2.78E+06
O70456;P61982;P62259;P63101;P68254;P68510;Q9CQV8,O70456;P61982;P62259;P63101;P68254;P68510;Q9CQV8,1433B_MOUSE;1433E_MOUSE;1433F_MOUSE;1433G_MOUSE;1433S_MOUSE;1433T_MOUSE;1433Z_MOUSE,Sfn;Ywhab;Ywhae;Ywhag;Ywhah;Ywhaq;Ywhaz,14-3-3 protein sigma,1.50E+06,1.57E+06,908442,1.56E+06,1.49E+06,1.10E+06,1.85E+06,1.28E+06
O70456;P61982;P63101;P68510,O70456;P61982;P63101;P68510,1433F_MOUSE;1433G_MOUSE;1433S_MOUSE;1433Z_MOUSE,Sfn;Ywhag;Ywhah;Ywhaz,14-3-3 protein sigma,26044.6,12185.3,77133.6,,47537.9,143795,161977,2594.21
O70456;P63101;P68254;Q9CQV8,O70456;P63101;P68254;Q9CQV8,1433B_MOUSE;1433S_MOUSE;1433T_MOUSE;1433Z_MOUSE,Sfn;Ywhab;Ywhaq;Ywhaz,14-3-3 protein sigma,803.695,4006.85,13647.4,,2272.29,9874.63,8413.64,3066.29
O70458,O70458,OSMR_MOUSE,Osmr,Oncostatin-M-specific receptor subunit beta,8464.48,,,8175.72,4952.76,,5746.36,
O70472,O70472,TM131_MOUSE,Tmem131,Transmembrane protein 131,18371.6,15060.3,14433.9,13593.7,17566.1,14387.1,12724.7,13017.8
O70475,O70475,UGDH_MOUSE,Ugdh,UDP-glucose 6-dehydrogenase,45830.4,33430.1,43142.2,32160.9,39212.1,38186.4,29801,38705.9
O70480,O70480,VAMP4_MOUSE,Vamp4,Vesicle-associated membrane protein 4,2413.63,1770.07,2518.31,4126.94,3356.47,3273.11,4756.74,2360.98
O70481,O70481,UBR1_MOUSE,Ubr1,E3 ubiquitin-protein ligase UBR1,,3788.08,9663.44,,6426.66,2044.64,7898.35,
O70492,O70492,SNX3_MOUSE,Snx3,Sorting nexin-3,21258.6,27898.6,30309.8,26556.6,25889.6,29485.7,28433.3,10778.2
O70492;O70493,O70492;O70493,SNX12_MOUSE;SNX3_MOUSE,Snx12;Snx3,Sorting nexin-3,,9580.68,13737.1,14227.1,6675.42,7201.12,8561.98,11285.1
O70493,O70493,SNX12_MOUSE,Snx12,Sorting nexin-12,16091.4,33949.6,29538.6,33390.3,35455.6,32260.7,26485.7,19586.2
O70494,O70494,SP3_MOUSE,Sp3,Transcription factor Sp3,20306.8,11291.2,12608.4,15839.3,14565.1,11896.5,7440.94,14589.3
O70496,O70496,CLCN7_MOUSE,Clcn7,H(+)/Cl(-) exchange transporter 7,10741.5,6600.3,5917.85,5387.64,8040.84,5666.96,6269.26,10819
O70503,O70503,DHB12_MOUSE,Hsd17b12,Very-long-chain 3-oxoacyl-CoA reductase,114083,121007,139623,134702,137000,139451,142660,108486
O70554;O70555;O70558;O70559;O70562,O70555;O70558;O70554;O70559;O70562,SPR2B_MOUSE;SPR2D_MOUSE;SPR2G_MOUSE;SPR2H_MOUSE;SPR2K_MOUSE,Sprr2b;Sprr2d;Sprr2g;Sprr2h;Sprr2k,Small proline-rich protein 2B,18436,2516.29,,,,2333.17,823.256,
O70570,O70570,PIGR_MOUSE,Pigr,Polymeric immunoglobulin receptor,597476,565995,567746,581917,625107,577520,570401,542113
O70572,O70572,NSMA_MOUSE,Smpd2,Sphingomyelin phosphodiesterase 2,8616.64,6302.41,4760.2,5704.83,6303.95,6625.67,6963.02,2421.19
O70579,O70579,PM34_MOUSE,Slc25a17,Peroxisomal membrane protein PMP34,15236.7,9797.71,7999.88,12220,7298.6,13108.8,14371.9,11418.5
O70585,O70585;Q9D2N4,DTNB_MOUSE,Dtnb,Dystrobrevin beta,1798.29,4906.94,2377.94,2453.11,,3720.38,2966.15,6426.38
O70589,O70589,CSKP_MOUSE,Cask,Peripheral plasma membrane protein CASK,20901.1,13805.4,16605.4,17289.2,14960.8,14549.1,15870.2,19073.2
O70591,O70591,PFD2_MOUSE,Pfdn2,Prefoldin subunit 2,56583.8,79642.2,56494.6,73602.1,85244.2,69146.2,79938.7,55993.8
O88188,O88188,LY86_MOUSE,Ly86,Lymphocyte antigen 86,,4884.43,3037.56,8456.09,2479.12,5494,4174.7,7674.38
O88271,O88271,CFDP1_MOUSE,Cfdp1,Craniofacial development protein 1,52500.4,65638.4,76110.7,83389.7,77766,76504.5,83709.7,55924.7
O88286,O88286,WIZ_MOUSE,Wiz,Protein Wiz,8121.56,8123.92,6149.61,5680.51,4586.9,4258.67,3983.54,5875.07
O88322,O88322,NID2_MOUSE,Nid2,Nidogen-2,8863.46,7710.63,7350.36,6795.08,8189.5,7921.99,7500.61,8910.2
O88342,O88342,WDR1_MOUSE,Wdr1,WD repeat-containing protein 1,410845,485712,465366,430279,501040,522469,571827,347121
O88343,O88343,S4A4_MOUSE,Slc4a4,Electrogenic sodium bicarbonate cotransporter 1,17810.6,13911.2,12673.3,9960.54,11614.2,11110.2,13457.6,9940.47
O88384,O88384,VTI1B_MOUSE,Vti1b,Vesicle transport through interaction with t-SNAREs homolog 1B,85866.5,82986.7,78515.3,77411,80251.9,74617.5,77325.4,76455.6
O88393,O88393,TGBR3_MOUSE,Tgfbr3,Transforming growth factor beta receptor type 3,5275.99,3868.76,6944.25,4674.29,3458.69,3978.14,3906.56,
O88425,O88425,NDK6_MOUSE,Nme6,Nucleoside diphosphate kinase 6,24494.7,33741.2,22081.1,34326.4,27152.1,30048.9,24708.2,23253.8
O88428,O88428,PAPS2_MOUSE,Papss2,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2,13212.8,13821.6,18173,19346.6,14483.5,13857.4,17022.3,8606.54
O88441,O88441,MTX2_MOUSE,Mtx2,Metaxin-2,55506.7,39377.6,47712.2,53186.6,43694.9,58698.7,45201.5,28123.3
O88447,O88447,KLC1_MOUSE,Klc1,Kinesin light chain 1,6666.38,3793.29,2716.74,2607.63,4116,1958.2,3343.08,3895.73
O88447;O88448;Q9DBS5,O88447;O88448;Q9DBS5,KLC1_MOUSE;KLC2_MOUSE;KLC4_MOUSE,Klc1;Klc2;Klc4,Kinesin light chain 1,4967.56,9952.25,,14863.2,10201.7,10780.1,9711.4,8595.02
O88448,O88448,KLC2_MOUSE,Klc2,Kinesin light chain 2,6691.44,8108.83,11395.1,5120.27,8187.58,7986.26,7971.81,12092.5
O88448;Q9DBS5,O88448;Q9DBS5,KLC2_MOUSE;KLC4_MOUSE,Klc2;Klc4,Kinesin light chain 2,22191.4,19799.7,19780.8,17622.9,23845.2,18900.1,18704.7,18964.1
O88451,O88451,RDH7_MOUSE,Rdh7,Retinol dehydrogenase 7,1.89E+06,1.59E+06,1.65E+06,1.77E+06,1.75E+06,1.90E+06,1.59E+06,1.43E+06
O88451;Q9R092,Q9R092;O88451,H17B6_MOUSE;RDH7_MOUSE,Hsd17b6;Rdh7,Retinol dehydrogenase 7,782691,468556,714610,735012,619725,534812,532384,603655
O88455,O88455,DHCR7_MOUSE,Dhcr7,7-dehydrocholesterol reductase,51351,47796.5,52129.5,49253.5,42528.5,54052.1,56237.1,39890.5
O88456,O88456;Q9D7J7,CPNS1_MOUSE,Capns1,Calpain small subunit 1,36883.4,49730,58321.9,46275.8,63424.6,68452.5,87629.9,18564.5
O88487,O88487,DC1I2_MOUSE,Dync1i2,Cytoplasmic dynein 1 intermediate chain 2,115028,93745.1,111458,106404,126276,105472,126122,121702
O88492,O88492,PLIN4_MOUSE,Plin4,Perilipin-4,12593.4,6276.96,9080.33,11388.1,6358.35,8850.94,5734.07,12585.6
O88502,O88502,PDE8A_MOUSE,Pde8a,"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A",2512.29,,,,,,,1117.49
O88512,O88512,AP1G2_MOUSE,Ap1g2,AP-1 complex subunit gamma-like 2,,11828.8,,,10839.1,,,
O88512;P22892,P22892;O88512,AP1G1_MOUSE;AP1G2_MOUSE,Ap1g1;Ap1g2,AP-1 complex subunit gamma-like 2,,17918.8,8344.17,7922.66,15039,18766.6,19226.9,7893.2
O88522,O88522,NEMO_MOUSE,Ikbkg,NF-kappa-B essential modulator,20469.3,18195.1,22016.9,25711.5,16913.7,21050.8,20791.8,19979.4
O88531,O88531,PPT1_MOUSE,Ppt1,Palmitoyl-protein thioesterase 1,85098.2,111182,132931,111547,122208,150677,134236,88311
O88532,O88532,ZFR_MOUSE,Zfr,Zinc finger RNA-binding protein,32792,35849.4,35792.1,40537.2,32668.8,35492.5,31325.8,34998.3
O88533,O88533,DDC_MOUSE,Ddc,Aromatic-L-amino-acid decarboxylase,287144,232535,345215,259796,325915,342194,460689,207599
O88543,O88543,CSN3_MOUSE,Cops3,COP9 signalosome complex subunit 3,194848,222863,211748,213771,220983,224091,228085,189824
O88544,O88544,CSN4_MOUSE,Cops4,COP9 signalosome complex subunit 4,107843,130534,120644,111065,139147,165178,150101,99788.6
O88545,O88545,CSN6_MOUSE,Cops6,COP9 signalosome complex subunit 6,23844.2,38779.5,38600,37353.6,43289.1,47049.2,56347.9,11332.5
O88551,O88551,CLD1_MOUSE,Cldn1,Claudin-1,19638.6,6637.84,12705.1,5721.87,8484.92,9606.21,8567.11,15924.5
O88569,O88569,ROA2_MOUSE,Hnrnpa2b1,Heterogeneous nuclear ribonucleoproteins A2/B1,979045,1.26E+06,1.13E+06,971846,1.12E+06,1.31E+06,1.36E+06,728320
O88569;P49312,O88569;P49312,ROA1_MOUSE;ROA2_MOUSE,Hnrnpa1;Hnrnpa2b1,Heterogeneous nuclear ribonucleoproteins A2/B1,,8996.41,6718.42,4414.88,3622.43,11436,18728.2,
O88573,O88573,AFF1_MOUSE,Aff1,AF4/FMR2 family member 1,,,4150.95,5616.72,3657.28,,1832.59,2204.61
O88587,O88587,COMT_MOUSE,Comt,Catechol O-methyltransferase,68207.4,64772.3,78968.8,74600.6,69559,76082.5,61654.6,73002.3
O88622,O88622,PARG_MOUSE,Parg,Poly(ADP-ribose) glycohydrolase,12869.1,19393,15285.4,15013.6,16711.5,17511.5,15946.9,14988
O88630,O88630,GOSR1_MOUSE,Gosr1,Golgi SNAP receptor complex member 1,18406.6,16530.6,23306,19491.9,16753.1,22340,20837.9,20666.3
O88643,O88643,PAK1_MOUSE,Pak1,Serine/threonine-protein kinase PAK 1,,5053.22,,3431.24,5713.66,1903.06,3104.72,6627.93
O88643;Q8CIN4,O88643;Q61036;Q8CIN4,PAK1_MOUSE;PAK2_MOUSE,Pak1;Pak2,Serine/threonine-protein kinase PAK 1,89118.4,95076.5,93795.7,133084,95129.1,85831.4,95527.1,99238.6
O88662,O88662,EMP2_MOUSE,Emp2,Epithelial membrane protein 2,4368.65,2452.13,3868.53,2576.24,5468.26,5803.24,4595.46,3479.77
O88668,O88668,CREG1_MOUSE,Creg1,Protein CREG1,213905,208231,244852,269710,250369,285948,242678,243261
O88685,O88685,PRS6A_MOUSE,Psmc3,26S proteasome regulatory subunit 6A,12379,12293.6,19348.8,18156,10695.4,19496.9,9764.33,11553.5
O88696,O88696,CLPP_MOUSE,Clpp,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",69797.7,151160,120221,105831,154524,141096,165776,42970.1
O88712,O88712,CTBP1_MOUSE,Ctbp1,C-terminal-binding protein 1,2573.8,4870.67,6202.75,4171.39,3241.91,3453.03,2563.92,3692.1
O88735,O88735,MAP7_MOUSE,Map7,Ensconsin,49349.8,48742.4,37542.6,49612.4,54147.5,48868.2,52824.8,43870.4
O88735;Q9QXS1,O88735;Q9QXS1,MAP7_MOUSE;PLEC_MOUSE,Map7;Plec,Ensconsin,1546.73,,2184.07,2465.74,2845.2,,2557.17,
O88736,O88736,DHB7_MOUSE,Hsd17b7,3-keto-steroid reductase/17-beta-hydroxysteroid dehydrogenase 7,8202.66,6398.34,3329.22,3465.76,3373.76,8603.72,5026.52,11310.1
O88738,O88738,BIRC6_MOUSE,Birc6,Baculoviral IAP repeat-containing protein 6,5344.34,5543.88,7076.39,3970.77,,5189.58,5389.26,
O88746,O88746,TOM1_MOUSE,Tom1,Target of Myb1 membrane trafficking protein,29705.1,32468.1,35715.8,30488.4,36413.8,41671.8,29910.5,35342.8
O88783,O88783,FA5_MOUSE,F5,Coagulation factor V,7083.03,6546.34,1661.36,4269.54,3876.14,4094.8,1967.6,4122.32
O88792,O88792,JAM1_MOUSE,F11r,Junctional adhesion molecule A,206304,129428,111136,122200,114422,100158,118471,184399
O88796,O88796,RPP30_MOUSE,Rpp30,Ribonuclease P protein subunit p30,8145.54,10711.1,5874.91,8490.87,9903.89,5720.6,7357.07,11435.6
O88803,O88803,LECT2_MOUSE,Lect2,Leukocyte cell-derived chemotaxin-2,5601.7,8033.45,8386.73,14091.9,10676.4,13322.2,9985.8,15763.9
O88811,O88811,STAM2_MOUSE,Stam2,Signal transducing adapter molecule 2,14971,20190.6,18089.5,15105.3,17713.7,16558,16623.6,17848
O88811;P70297,O88811;P70297,STAM1_MOUSE;STAM2_MOUSE,Stam;Stam2,Signal transducing adapter molecule 2,,3439.45,7618.56,,4359.36,5197.35,13075.5,
O88822,O88822,SC5D_MOUSE,Sc5d,Lathosterol oxidase,162787,140530,163225,124914,129474,154868,138676,128586
O88829,O88829,SIAT9_MOUSE,St3gal5,"Lactosylceramide alpha-2,3-sialyltransferase",20779.3,14382,11826.3,14108,13360,13183.5,13751.2,13722.9
O88833,O88833,CP4AA_MOUSE,Cyp4a10,Cytochrome P450 4A10,36691.9,38958.6,33929.7,29942.8,32803.4,41854.3,28938.1,37089.1
O88839,O88839,ADA15_MOUSE,Adam15,Disintegrin and metalloproteinase domain-containing protein 15,,2037.54,,,1964.68,,,3248.63
O88844,O88844,IDHC_MOUSE,Idh1,Isocitrate dehydrogenase [NADP] cytoplasmic,328087,221835,284627,296006,236284,277707,193724,298911
O88844;P54071,O88844;P54071,IDHC_MOUSE;IDHP_MOUSE,Idh1;Idh2,Isocitrate dehydrogenase [NADP] cytoplasmic,86230.5,95109.1,96104.1,95385.6,94558.6,102719,117294,72935.9
O88851,O88851,RBBP9_MOUSE,Rbbp9,Putative hydrolase RBBP9,154575,182704,172840,175268,205964,205226,202254,175629
O88876,O88876,DHRS3_MOUSE,Dhrs3,Short-chain dehydrogenase/reductase 3,129946,117537,107552,100684,88478.5,119527,90179.1,116511
O88878,O88878,ZFAN5_MOUSE,Zfand5,AN1-type zinc finger protein 5,35064.5,30658.7,20129.8,35849.8,27242.9,24855.7,27281.3,35263.7
O88878;Q9DCH6,O88878;Q9DCH6,ZFAN5_MOUSE;ZFAN6_MOUSE,Zfand5;Zfand6,AN1-type zinc finger protein 5,15798.1,13014.1,6193.13,14041.1,15664.1,13921.8,11924.3,15583.5
O88895,O88895,HDAC3_MOUSE,Hdac3,Histone deacetylase 3,12822.2,10545,20772.5,21923.6,19160.8,14843.7,17905.1,14977.6
O88908,O88908,SOAT2_MOUSE,Soat2,Sterol O-acyltransferase 2,175958,174822,169339,184393,171965,171882,183114,139223
O88935,O88935,SYN1_MOUSE,Syn1,Synapsin-1,18019.9,13200.7,16960.1,14492.1,15935.4,17104.6,15893,14493.3
O88939,O88939,ZBT7A_MOUSE,Zbtb7a,Zinc finger and BTB domain-containing protein 7A,,,2923.93,,1241.99,999.249,1848,
O88947,O88947,FA10_MOUSE,F10,Coagulation factor X,32659.4,38744.7,40012.5,44253.9,37206.8,36467.7,35429.2,32875.6
O88952,O88952,LIN7C_MOUSE,Lin7c,Protein lin-7 homolog C,22616.4,27169.8,19333.3,21147.4,29790.2,18795.1,19833,26768.9
O88952;Q8JZS0,O88951;O88952;Q8JZS0,LIN7A_MOUSE;LIN7C_MOUSE,Lin7a;Lin7c,Protein lin-7 homolog C,55579.6,44598,38541.7,48220,39808.3,42314.6,57637,44501
O88958,O88958,GNPI1_MOUSE,Gnpda1,Glucosamine-6-phosphate isomerase 1,168289,234054,182232,233516,239716,204347,217566,150999
O88958;Q9CRC9,O88958;Q9CRC9,GNPI1_MOUSE;GNPI2_MOUSE,Gnpda1;Gnpda2,Glucosamine-6-phosphate isomerase 1,3096.23,4972.75,4980.99,6402.13,4870.11,5950.26,9651,
O88962,O88962,CP8B1_MOUSE,Cyp8b1,7-alpha-hydroxycholest-4-en-3-one 12-alpha-hydroxylase,7867.51,6806.82,7864.92,6355.61,6513.25,9367.73,6035.96,
O88967,O88967,YMEL1_MOUSE,Yme1l1,ATP-dependent zinc metalloprotease YME1L1,28044.4,32451.5,27402.5,29757.1,25789.4,37391.8,32709.8,24801.2
O88968,O88968,TCO2_MOUSE,Tcn2,Transcobalamin-2,32172.3,26193.1,27459.1,26205.5,26614.4,29894.8,28399.1,26191.8
O88983,O88983,STX8_MOUSE,Stx8,Syntaxin-8,59567.2,47364.2,54776,45427,50938.2,54244.4,54828.3,42508.5
O88986,O88986,KBL_MOUSE,Gcat,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial",727660,766827,806296,636559,876650,850306,917951,360398
O88998,O88998,NOE1_MOUSE,Olfm1,Noelin,,,,,2388.02,,2502.81,
O89001,O89001,CBPD_MOUSE,Cpd,Carboxypeptidase D,12313.4,10193.7,12420,13864.9,10717,10026.9,8438.27,9661.71
O89017,O89017,LGMN_MOUSE,Lgmn,Legumain,57708.8,97280,68982.7,59462.6,74024.6,73927.1,75306.6,69176.5
O89020,O89020,AFAM_MOUSE,Afm,Afamin,148529,144371,151168,164869,147994,142238,147362,138062
O89023,O89023,TPP1_MOUSE,Tpp1,Tripeptidyl-peptidase 1,80402.3,66301.9,69583.6,65027.1,50949.6,69210.3,75378.5,29875.9
O89026,O89026;Q7TPD3,ROBO1_MOUSE,Robo1,Roundabout homolog 1,4975.99,6303.2,6402.84,2736.55,5386.44,5907.26,4335.14,4740.83
O89050,O89050,MKLN1_MOUSE,Mkln1,Muskelin,2458.07,2433.6,3761.02,2475.55,5934.42,4321.94,1739.54,3277.35
O89051,O89051,ITM2B_MOUSE,Itm2b,Integral membrane protein 2B,19560.3,21269.4,20352.4,21699.9,20064.9,23104.9,19101.7,25306
O89053,O89053,COR1A_MOUSE,Coro1a,Coronin-1A,21978.1,10262.5,,,8955.37,6617.48,9677.93,11837.8
O89086,O89086,RBM3_MOUSE,Rbm3,RNA-binding protein 3,130036,142258,154846,140171,142318,144743,132753,157452
O89090,O89090,SP1_MOUSE,Sp1,Transcription factor Sp1,9138.2,6182.23,10369.2,5057.96,6507.53,5757.87,5383.11,5371.61
O89103,O89103,C1QR1_MOUSE,Cd93,Complement component C1q receptor,4952.11,4438.45,,1764.05,1596.25,1023.09,3881.75,3266.42
O89106,O89106,FHIT_MOUSE,Fhit,Bis(5'-adenosyl)-triphosphatase,3015.38,5263.94,,,5045.26,2139.54,3891.8,4268.23
O89110,O89110,CASP8_MOUSE,Casp8,Caspase-8,66477.9,89277.5,92532.4,83233.3,90534,85325.1,88767.2,72478.8
O89116,O89116,VTI1A_MOUSE,Vti1a,Vesicle transport through interaction with t-SNAREs homolog 1A,9158.11,11405,16094.7,9151.09,13257.8,12415.1,14868.7,11808.8
P00015,P00015,CYC2_MOUSE,Cyct,"Cytochrome c, testis-specific",,,3950.94,,2229.98,2824.58,5063.37,2591.16
P00015;P62897,P00015;P62897,CYC2_MOUSE;CYC_MOUSE,Cycs;Cyct,"Cytochrome c, testis-specific",44953,53761.9,116866,10507.4,79058,92582.5,147633,11565.6
P00158,P00158,CYB_MOUSE,Mt-Cyb,Cytochrome b,,2486.74,1467.51,,3773.49,5508.92,8103.33,
